video,subdomain,domain,top_level,response
a-fine-time-to-become-an-american,www,youtube,com,200
a-fine-time-to-become-an-american,www,uscis,gov,200
a-fine-time-to-become-an-american,www,uscis,gov,200
a-fine-time-to-become-an-american,www,dhs,gov,200
a-fine-time-to-become-an-american,www,youtube,com,200
a-fine-time-to-become-an-american,www,ssa,gov,200
a-fine-time-to-become-an-american,www,dhs,gov,404
a-fine-time-to-become-an-american,www,uscis,gov,200
a-fine-time-to-become-an-american,www,dhs,gov,404
a-fine-time-to-become-an-american,www,uscis,gov,200
a-fine-time-to-become-an-american,www,pewresearch,org,200
a-fine-time-to-become-an-american,www,youtube,com,200
a-fine-time-to-become-an-american,www,youtube,com,200
a-fine-time-to-become-an-american,www,uscis,gov,200
a-fine-time-to-become-an-american,www,uscis,gov,200
a-fine-time-to-become-an-american,www,uscis,gov,200
a-fine-time-to-become-an-american,www,economist,com,200
a-fine-time-to-become-an-american,www,uscis,gov,200
a-fine-time-to-become-an-american,www,washingtonpost,com,200
a-fine-time-to-become-an-american,www,washingtonpost,com,200
