video,subdomain,domain,top_level,response
a-nation-of-immigrants,www,nytimes,com,403
a-nation-of-immigrants,www,nps,gov,200
a-nation-of-immigrants,www,c-span,org,403
a-nation-of-immigrants,www,migrationpolicy,org,403
a-nation-of-immigrants,www,amazon,com,500
a-nation-of-immigrants,www,washingtonexaminer,com,403
a-nation-of-immigrants,,cis,org,403
a-nation-of-immigrants,,michellemalkin,com,200
a-nation-of-immigrants,,michellemalkin,com,200
a-nation-of-immigrants,www,migrationpolicy,org,403
a-nation-of-immigrants,,michellemalkin,com,200
a-nation-of-immigrants,www,youtube,com,200
a-nation-of-immigrants,www,pewresearch,org,200
a-nation-of-immigrants,,michellemalkin,com,200
a-nation-of-immigrants,travel,state,gov,200
a-nation-of-immigrants,www,pewresearch,org,200
a-nation-of-immigrants,www,youtube,com,200
a-nation-of-immigrants,www,wsj,com,403
a-nation-of-immigrants,,michellemalkin,com,200
a-nation-of-immigrants,www,pewresearch,org,200
a-nation-of-immigrants,www,pewresearch,org,200
a-nation-of-immigrants,,michellemalkin,com,404
a-nation-of-immigrants,,michellemalkin,com,404
a-nation-of-immigrants,www,cnn,com,200
a-nation-of-immigrants,www,conservativereview,com,200
a-nation-of-immigrants,www,youtube,com,200
a-nation-of-immigrants,insider,foxnews,com,200
a-nation-of-immigrants,,michellemalkin,com,200
a-nation-of-immigrants,,michellemalkin,com,200
a-nation-of-immigrants,,michellemalkin,com,200
a-nation-of-immigrants,www,pewresearch,org,200
a-nation-of-immigrants,www,e-verify,gov,200
