video,subdomain,domain,top_level,response
america-wants-legal-immigrants,,marginalrevolution,com,403
america-wants-legal-immigrants,www,c-span,org,403
america-wants-legal-immigrants,,cis,org,403
america-wants-legal-immigrants,www,prageru,com,200
america-wants-legal-immigrants,www,nationalreview,com,200
america-wants-legal-immigrants,www,nationalreview,com,200
america-wants-legal-immigrants,www,nationalreview,com,200
america-wants-legal-immigrants,www,nationalreview,com,200
america-wants-legal-immigrants,www,nationalreview,com,200
america-wants-legal-immigrants,www,nationalreview,com,200
america-wants-legal-immigrants,www,nationalreview,com,200
america-wants-legal-immigrants,www,nationalreview,com,200
america-wants-legal-immigrants,www,wbur,org,200
america-wants-legal-immigrants,www,nationalreview,com,200
america-wants-legal-immigrants,www,nationalreview,com,200
america-wants-legal-immigrants,www,nationalreview,com,200
america-wants-legal-immigrants,www,amazon,com,500
america-wants-legal-immigrants,www,nationalreview,com,200
america-wants-legal-immigrants,www,nationalreview,com,200
america-wants-legal-immigrants,www,nationalreview,com,200
america-wants-legal-immigrants,www,nationalreview,com,200
america-wants-legal-immigrants,www,nationalreview,com,200
america-wants-legal-immigrants,www,nationalreview,com,200
america-wants-legal-immigrants,www,nationalreview,com,200
america-wants-legal-immigrants,www,nationalreview,com,200
america-wants-legal-immigrants,www,nationalreview,com,200
america-wants-legal-immigrants,www,nationalreview,com,200
