video,subdomain,domain,top_level,response
how-to-stop-the-border-crisis,www,theguardian,com,200
how-to-stop-the-border-crisis,www,reuters,com,401
how-to-stop-the-border-crisis,www,thecentersquare,com,200
how-to-stop-the-border-crisis,www,kff,org,200
how-to-stop-the-border-crisis,www,amazon,com,500
how-to-stop-the-border-crisis,www,uscirf,gov,200
how-to-stop-the-border-crisis,www,amazon,com,500
how-to-stop-the-border-crisis,www,cbp,gov,200
how-to-stop-the-border-crisis,www,nationalreview,com,200
how-to-stop-the-border-crisis,www,cbp,gov,200
how-to-stop-the-border-crisis,budget,house,gov,200
how-to-stop-the-border-crisis,www,amazon,com,500
how-to-stop-the-border-crisis,www,cbsnews,com,200
how-to-stop-the-border-crisis,www,thecentersquare,com,200
how-to-stop-the-border-crisis,www,nbcnews,com,200
how-to-stop-the-border-crisis,www,courthousenews,com,403
how-to-stop-the-border-crisis,,apnews,com,200
how-to-stop-the-border-crisis,www,nytimes,com,403
how-to-stop-the-border-crisis,www,axios,com,403
how-to-stop-the-border-crisis,www,azcentral,com,200
how-to-stop-the-border-crisis,www,pewresearch,org,200
how-to-stop-the-border-crisis,www,sandiegouniontribune,com,200
how-to-stop-the-border-crisis,www,pewresearch,org,200
how-to-stop-the-border-crisis,www,fox7austin,com,200
how-to-stop-the-border-crisis,www,borderreport,com,403
how-to-stop-the-border-crisis,www,amazon,com,500
how-to-stop-the-border-crisis,,cmsny,org,200
how-to-stop-the-border-crisis,,apnews,com,200
how-to-stop-the-border-crisis,,wpde,com,200
how-to-stop-the-border-crisis,,apnews,com,200
how-to-stop-the-border-crisis,abcnews,go,com,200
how-to-stop-the-border-crisis,www,amazon,com,500
how-to-stop-the-border-crisis,www,laprensalatina,com,404
how-to-stop-the-border-crisis,www,amazon,com,500
how-to-stop-the-border-crisis,www,fox5atlanta,com,200
how-to-stop-the-border-crisis,www,nbcnews,com,200
how-to-stop-the-border-crisis,www,heritage,org,200
how-to-stop-the-border-crisis,www,newsweek,com,403
how-to-stop-the-border-crisis,www.ncbi.nlm,nih,gov,403
how-to-stop-the-border-crisis,data,worldbank,org,200
how-to-stop-the-border-crisis,www,npr,org,404
how-to-stop-the-border-crisis,www,usnews,com,404
