video,subdomain,domain,top_level,response
illegal-immigration-its-about-power,journals,sagepub,com,403
illegal-immigration-its-about-power,insights.som,yale,edu,200
illegal-immigration-its-about-power,www,wsj,com,403
illegal-immigration-its-about-power,,cis,org,403
illegal-immigration-its-about-power,www,nytimes,com,403
illegal-immigration-its-about-power,www,washingtontimes,com,403
illegal-immigration-its-about-power,www,washingtonexaminer,com,403
illegal-immigration-its-about-power,www,270towin,com,200
illegal-immigration-its-about-power,www,youtube,com,200
illegal-immigration-its-about-power,www,youtube,com,200
illegal-immigration-its-about-power,www,youtube,com,200
illegal-immigration-its-about-power,www,migrationpolicy,org,403
illegal-immigration-its-about-power,krugman.blogs,nytimes,com,200
illegal-immigration-its-about-power,diva,sfsu,edu,200
illegal-immigration-its-about-power,www,amazon,com,500
illegal-immigration-its-about-power,www,youtube,com,200
illegal-immigration-its-about-power,articles,latimes,com,403
illegal-immigration-its-about-power,insights.som,yale,edu,200
illegal-immigration-its-about-power,www,biography,com,200
illegal-immigration-its-about-power,www,amazon,com,500
illegal-immigration-its-about-power,www,bostonglobe,com,200
illegal-immigration-its-about-power,obamawhitehouse,archives,gov,200
illegal-immigration-its-about-power,,dailycaller,com,200
illegal-immigration-its-about-power,www,youtube,com,200
illegal-immigration-its-about-power,www,youtube,com,200
illegal-immigration-its-about-power,www,prageru,com,200
illegal-immigration-its-about-power,reuther,wayne,edu,200
illegal-immigration-its-about-power,www,prageru,com,200
illegal-immigration-its-about-power,www,pewresearch,org,200
illegal-immigration-its-about-power,www,nationalreview,com,200
illegal-immigration-its-about-power,www,nationalreview,com,200
