video,subdomain,domain,top_level,response
the-suicide-of-europe,www,nationalreview,com,200
the-suicide-of-europe,www,thelocal,de,403
the-suicide-of-europe,www,independent,co.uk,200
the-suicide-of-europe,www,nationalreview,com,200
the-suicide-of-europe,www,nationalreview,com,200
the-suicide-of-europe,www,independent,co.uk,200
the-suicide-of-europe,www,gatestoneinstitute,org,200
the-suicide-of-europe,www,bbc,com,200
the-suicide-of-europe,www,newsweek,com,403
the-suicide-of-europe,www,express,co.uk,200
the-suicide-of-europe,www,gatestoneinstitute,org,200
the-suicide-of-europe,www,bbc,com,200
the-suicide-of-europe,www,spectator,co.uk,404
the-suicide-of-europe,www,theatlantic,com,200
the-suicide-of-europe,www,nationalreview,com,200
the-suicide-of-europe,www,theguardian,com,200
the-suicide-of-europe,www,amazon,com,500
the-suicide-of-europe,www,standard,co.uk,200
the-suicide-of-europe,,foreignpolicy,com,200
the-suicide-of-europe,www,coe,int,200
the-suicide-of-europe,www,datagraver,com,404
the-suicide-of-europe,www,pri,org,200
the-suicide-of-europe,www,nationalreview,com,200
the-suicide-of-europe,www,pri,org,200
the-suicide-of-europe,www,dw,com,200
the-suicide-of-europe,www,pewforum,org,404
the-suicide-of-europe,www,washingtonpost,com,200
