video,subdomain,domain,top_level,response
who-cares-about-illegal-immigration,crsreports,congress,gov,403
who-cares-about-illegal-immigration,www,borderreport,com,403
who-cares-about-illegal-immigration,www,borderreport,com,403
who-cares-about-illegal-immigration,www,washingtontimes,com,403
who-cares-about-illegal-immigration,,cis,org,403
who-cares-about-illegal-immigration,www,usatoday,com,200
who-cares-about-illegal-immigration,,cis,org,403
who-cares-about-illegal-immigration,www,theguardian,com,200
who-cares-about-illegal-immigration,files.eric,ed,gov,200
who-cares-about-illegal-immigration,www,cbp,gov,200
who-cares-about-illegal-immigration,www,foxnews,com,200
who-cares-about-illegal-immigration,www,state,gov,200
who-cares-about-illegal-immigration,obamawhitehouse,archives,gov,200
who-cares-about-illegal-immigration,www,hhs,gov,200
who-cares-about-illegal-immigration,www,heritage,org,200
who-cares-about-illegal-immigration,www,heritage,org,200
who-cares-about-illegal-immigration,www,npr,org,200
who-cares-about-illegal-immigration,www,dhs,gov,200
who-cares-about-illegal-immigration,www,foxnews,com,404
who-cares-about-illegal-immigration,www,washingtonpost,com,200
