video,subdomain,domain,top_level,response
big-tech-is-big-brother,www,history,com,200
big-tech-is-big-brother,,thefederalist,com,403
big-tech-is-big-brother,www,prageru,com,200
big-tech-is-big-brother,,thehill,com,403
big-tech-is-big-brother,www,dailywire,com,404
big-tech-is-big-brother,www,britannica,com,200
big-tech-is-big-brother,content,time,com,200
big-tech-is-big-brother,www,amazon,com,500
big-tech-is-big-brother,www,britannica,com,200
big-tech-is-big-brother,,reason,com,200
big-tech-is-big-brother,,thefederalist,com,403
big-tech-is-big-brother,www,cnsnews,com,200
big-tech-is-big-brother,www,britannica,com,404
big-tech-is-big-brother,,dailycaller,com,200
big-tech-is-big-brother,www,foxnews,com,200
big-tech-is-big-brother,www,cnet,com,200
big-tech-is-big-brother,www,youtube,com,200
big-tech-is-big-brother,www,frontpagemag,com,200
big-tech-is-big-brother,www,foxnews,com,200
