video,subdomain,domain,top_level,response
control-the-words-control-the-culture,,thehill,com,403
control-the-words-control-the-culture,insider,foxnews,com,200
control-the-words-control-the-culture,www,youtube,com,200
control-the-words-control-the-culture,www,heritage,org,200
control-the-words-control-the-culture,www,youtube,com,200
control-the-words-control-the-culture,www,heritage,org,200
control-the-words-control-the-culture,www,youtube,com,200
control-the-words-control-the-culture,www,nationalreview,com,200
control-the-words-control-the-culture,www,heritage,org,200
control-the-words-control-the-culture,www,orwell,ru,200
control-the-words-control-the-culture,www,youtube,com,200
control-the-words-control-the-culture,www,apstylebook,com,200
control-the-words-control-the-culture,www,irs,gov,200
control-the-words-control-the-culture,www,youtube,com,200
control-the-words-control-the-culture,www,heritage,org,200
control-the-words-control-the-culture,www,nationalreview,com,200
control-the-words-control-the-culture,www,psychologytoday,com,200
control-the-words-control-the-culture,,thehill,com,403
control-the-words-control-the-culture,www,apstylebook,com,200
control-the-words-control-the-culture,www,prageru,com,200
control-the-words-control-the-culture,www,heritage,org,200
control-the-words-control-the-culture,www,prageru,com,200
control-the-words-control-the-culture,www,nationalreview,com,200
control-the-words-control-the-culture,www,nationalreview,com,200
control-the-words-control-the-culture,www,prageru,com,200
control-the-words-control-the-culture,www,nationalreview,com,200
control-the-words-control-the-culture,www,nationalreview,com,200
control-the-words-control-the-culture,www,nationalreview,com,200
control-the-words-control-the-culture,www,washingtonpost,com,200
control-the-words-control-the-culture,www,washingtonpost,com,200
control-the-words-control-the-culture,www,washingtonpost,com,200
