video,subdomain,domain,top_level,response
does-free-speech-offend-you,www,rd,com,403
does-free-speech-offend-you,www,rd,com,403
does-free-speech-offend-you,www,wsj,com,403
does-free-speech-offend-you,www,britannica,com,200
does-free-speech-offend-you,www,wsj,com,403
does-free-speech-offend-you,www,wsj,com,403
does-free-speech-offend-you,www,theatlantic,com,200
does-free-speech-offend-you,www,huffingtonpost,com,200
does-free-speech-offend-you,www,huffingtonpost,com,200
does-free-speech-offend-you,www,nytimes,com,403
does-free-speech-offend-you,www,theatlantic,com,200
does-free-speech-offend-you,www,wsj,com,403
does-free-speech-offend-you,,theamericanscholar,org,403
does-free-speech-offend-you,www,theatlantic,com,200
