video,subdomain,domain,top_level,response
facts-dont-care-about-your-feelings,www,theatlantic,com,200
facts-dont-care-about-your-feelings,www,theatlantic,com,200
facts-dont-care-about-your-feelings,www,amazon,com,500
facts-dont-care-about-your-feelings,www,amazon,com,500
facts-dont-care-about-your-feelings,www,amazon,com,500
facts-dont-care-about-your-feelings,www,theatlantic,com,200
facts-dont-care-about-your-feelings,www,amazon,com,500
facts-dont-care-about-your-feelings,www,theatlantic,com,200
facts-dont-care-about-your-feelings,www,amazon,com,500
facts-dont-care-about-your-feelings,www,prageru,com,404
facts-dont-care-about-your-feelings,www,youtube,com,200
facts-dont-care-about-your-feelings,www,dailywire,com,404
facts-dont-care-about-your-feelings,www,dailywire,com,404
facts-dont-care-about-your-feelings,www,theatlantic,com,200
facts-dont-care-about-your-feelings,www,amazon,com,500
facts-dont-care-about-your-feelings,www,wsj,com,403
facts-dont-care-about-your-feelings,www,dailywire,com,404
facts-dont-care-about-your-feelings,www,dailywire,com,404
facts-dont-care-about-your-feelings,www,amazon,com,500
facts-dont-care-about-your-feelings,www,youtube,com,200
facts-dont-care-about-your-feelings,www,youtube,com,200
facts-dont-care-about-your-feelings,www,nationalreview,com,200
facts-dont-care-about-your-feelings,www,nationalreview,com,200
facts-dont-care-about-your-feelings,www,nationalreview,com,200
facts-dont-care-about-your-feelings,www,nationalreview,com,200
