video,subdomain,domain,top_level,response
how-to-become-a-dangerous-person,www,latimes,com,403
how-to-become-a-dangerous-person,www,latimes,com,403
how-to-become-a-dangerous-person,www,latimes,com,403
how-to-become-a-dangerous-person,,quillette,com,200
how-to-become-a-dangerous-person,www,latimes,com,403
how-to-become-a-dangerous-person,,quillette,com,200
how-to-become-a-dangerous-person,,quillette,com,200
how-to-become-a-dangerous-person,,quillette,com,200
how-to-become-a-dangerous-person,,reason,com,200
how-to-become-a-dangerous-person,www,wweek,com,200
how-to-become-a-dangerous-person,,reason,com,200
how-to-become-a-dangerous-person,,reason,com,200
how-to-become-a-dangerous-person,,reason,com,200
how-to-become-a-dangerous-person,www,prageru,com,200
how-to-become-a-dangerous-person,,reason,com,200
how-to-become-a-dangerous-person,,quillette,com,200
how-to-become-a-dangerous-person,www,prageru,com,200
how-to-become-a-dangerous-person,www,oregonlive,com,200
how-to-become-a-dangerous-person,www,portlandmercury,com,200
