video,subdomain,domain,top_level,response
is-america-losing-its-mind,www,latimes,com,403
is-america-losing-its-mind,www,latimes,com,403
is-america-losing-its-mind,www,amazon,com,500
is-america-losing-its-mind,www,heritage,org,200
is-america-losing-its-mind,www,amazon,com,500
is-america-losing-its-mind,www.law,cornell,edu,200
is-america-losing-its-mind,www,foxnews,com,200
is-america-losing-its-mind,www,heritage,org,200
is-america-losing-its-mind,www,findlaw,com,403
is-america-losing-its-mind,,wlos,com,200
is-america-losing-its-mind,rmc.library,cornell,edu,200
is-america-losing-its-mind,www,npr,org,200
is-america-losing-its-mind,www,dailysignal,com,200
is-america-losing-its-mind,www,dragqueenstoryhour,org,522
