video,subdomain,domain,top_level,response
money-in-politics-whats-the-problem,www,politico,com,403
money-in-politics-whats-the-problem,www,cato,org,200
money-in-politics-whats-the-problem,www,fec,gov,200
money-in-politics-whats-the-problem,,time,com,200
money-in-politics-whats-the-problem,www.law,cornell,edu,200
money-in-politics-whats-the-problem,,abc7,com,200
money-in-politics-whats-the-problem,www,theatlantic,com,200
money-in-politics-whats-the-problem,www,fec,gov,200
money-in-politics-whats-the-problem,www,cato,org,200
money-in-politics-whats-the-problem,www,forbes,com,200
money-in-politics-whats-the-problem,www,huffingtonpost,com,200
money-in-politics-whats-the-problem,www,forbes,com,200
money-in-politics-whats-the-problem,www,nationalreview,com,200
money-in-politics-whats-the-problem,www,nationalreview,com,200
money-in-politics-whats-the-problem,www,nationalreview,com,200
money-in-politics-whats-the-problem,www,nationalreview,com,200
money-in-politics-whats-the-problem,www,nationalreview,com,200
money-in-politics-whats-the-problem,www,washingtonpost,com,200
money-in-politics-whats-the-problem,www,washingtonpost,com,200
