video,subdomain,domain,top_level,response
never-apologize-to-the-mob,www,nytimes,com,403
never-apologize-to-the-mob,www,nytimes,com,403
never-apologize-to-the-mob,www,nytimes,com,403
never-apologize-to-the-mob,news,artnet,com,403
never-apologize-to-the-mob,www,latimes,com,403
never-apologize-to-the-mob,,twitter,com,200
never-apologize-to-the-mob,www,insider,com,200
never-apologize-to-the-mob,www,thecollegefix,com,200
never-apologize-to-the-mob,www,thecollegefix,com,200
never-apologize-to-the-mob,www,bariweiss,com,200
never-apologize-to-the-mob,www,dailymail,co.uk,200
never-apologize-to-the-mob,,reason,com,200
never-apologize-to-the-mob,,reason,com,200
