video,subdomain,domain,top_level,response
newsguard-fact-checkers-with-too-much-power,www,aft,org,200
newsguard-fact-checkers-with-too-much-power,,thefederalist,com,403
newsguard-fact-checkers-with-too-much-power,www,amazon,com,500
newsguard-fact-checkers-with-too-much-power,,thefederalist,com,403
newsguard-fact-checkers-with-too-much-power,www,newsguardtech,com,200
newsguard-fact-checkers-with-too-much-power,www,newsguardtech,com,200
newsguard-fact-checkers-with-too-much-power,www,newsguardtech,com,200
newsguard-fact-checkers-with-too-much-power,www,cbsnews,com,200
newsguard-fact-checkers-with-too-much-power,www,aier,org,403
newsguard-fact-checkers-with-too-much-power,,youtu,be,200
newsguard-fact-checkers-with-too-much-power,www,aft,org,200
newsguard-fact-checkers-with-too-much-power,www,newsguardtech,com,200
newsguard-fact-checkers-with-too-much-power,www,aier,org,403
newsguard-fact-checkers-with-too-much-power,,thefederalist,com,403
newsguard-fact-checkers-with-too-much-power,,thefederalist,com,403
newsguard-fact-checkers-with-too-much-power,www,usaspending,gov,200
newsguard-fact-checkers-with-too-much-power,www,axios,com,403
newsguard-fact-checkers-with-too-much-power,,thefederalist,com,403
newsguard-fact-checkers-with-too-much-power,,childrenshealthdefense,org,200
newsguard-fact-checkers-with-too-much-power,www,prageru,com,200
newsguard-fact-checkers-with-too-much-power,,freebeacon,com,200
