video,subdomain,domain,top_level,response
preferred-pronouns-or-prison,www,dailysignal,com,200
preferred-pronouns-or-prison,www,mtsu,edu,403
preferred-pronouns-or-prison,www,youtube,com,200
preferred-pronouns-or-prison,www,youtube,com,200
preferred-pronouns-or-prison,insider,foxnews,com,200
preferred-pronouns-or-prison,www,youtube,com,200
preferred-pronouns-or-prison,www,prageru,com,200
preferred-pronouns-or-prison,www,heritage,org,200
preferred-pronouns-or-prison,www1,nyc,gov,200
preferred-pronouns-or-prison,www,pewresearch,org,200
preferred-pronouns-or-prison,www,fairfaxtimes,com,200
preferred-pronouns-or-prison,www,youtube,com,200
preferred-pronouns-or-prison,www,foxnews,com,200
preferred-pronouns-or-prison,www,oyez,org,200
preferred-pronouns-or-prison,www,prageru,com,200
preferred-pronouns-or-prison,www.law,cornell,edu,200
preferred-pronouns-or-prison,www,nationalreview,com,200
preferred-pronouns-or-prison,www,city-journal,org,200
preferred-pronouns-or-prison,www,nationalreview,com,200
preferred-pronouns-or-prison,www,nationalreview,com,200
preferred-pronouns-or-prison,www,nationalreview,com,200
