video,subdomain,domain,top_level,response
so-you-think-youre-tolerant,www,nytimes,com,403
so-you-think-youre-tolerant,,fee,org,403
so-you-think-youre-tolerant,en,oxforddictionaries,com,403
so-you-think-youre-tolerant,www,prageru,com,200
so-you-think-youre-tolerant,www,prageru,com,200
so-you-think-youre-tolerant,www,politico,com,403
so-you-think-youre-tolerant,www,thedailybeast,com,200
so-you-think-youre-tolerant,www,slate,com,200
so-you-think-youre-tolerant,www,thedailybeast,com,200
so-you-think-youre-tolerant,,thefederalist,com,403
so-you-think-youre-tolerant,www,politico,com,403
so-you-think-youre-tolerant,www,thedailybeast,com,200
so-you-think-youre-tolerant,,thefederalist,com,403
so-you-think-youre-tolerant,www,thedailybeast,com,200
so-you-think-youre-tolerant,www,prageru,com,200
so-you-think-youre-tolerant,www,slate,com,200
so-you-think-youre-tolerant,www,youtube,com,200
so-you-think-youre-tolerant,www,nytimes,com,403
so-you-think-youre-tolerant,www,youtube,com,200
so-you-think-youre-tolerant,www,thedailybeast,com,200
so-you-think-youre-tolerant,,thefederalist,com,403
so-you-think-youre-tolerant,www,prageru,com,200
so-you-think-youre-tolerant,www,youtube,com,200
so-you-think-youre-tolerant,www,thedailybeast,com,200
so-you-think-youre-tolerant,www,prageru,com,200
so-you-think-youre-tolerant,www,thedailybeast,com,200
so-you-think-youre-tolerant,www,nationalreview,com,200
so-you-think-youre-tolerant,www,nationalreview,com,200
so-you-think-youre-tolerant,www,nationalreview,com,200
so-you-think-youre-tolerant,www,washingtonpost,com,200
so-you-think-youre-tolerant,www,usnews,com,404
