video,subdomain,domain,top_level,response
whats-wrong-with-censorship,www,wsj,com,403
whats-wrong-with-censorship,www,wsj,com,403
whats-wrong-with-censorship,www,nationalreview,com,200
whats-wrong-with-censorship,www,wsj,com,403
whats-wrong-with-censorship,www,nationalreview,com,200
whats-wrong-with-censorship,www,wsj,com,403
whats-wrong-with-censorship,www,heritage,org,200
whats-wrong-with-censorship,www,heritage,org,200
whats-wrong-with-censorship,,nclalegal,org,404
whats-wrong-with-censorship,www,heritage,org,200
whats-wrong-with-censorship,www,heritage,org,200
whats-wrong-with-censorship,www,nationalreview,com,200
whats-wrong-with-censorship,www,heritage,org,200
whats-wrong-with-censorship,www,heritage,org,200
whats-wrong-with-censorship,www,nationalreview,com,200
whats-wrong-with-censorship,www,dailymail,co.uk,200
whats-wrong-with-censorship,www,nationalreview,com,200
whats-wrong-with-censorship,www,nzherald,co.nz,200
whats-wrong-with-censorship,,freebeacon,com,200
