video,subdomain,domain,top_level,response
defining-liberty,constitution,congress,gov,403
defining-liberty,constitution,congress,gov,403
defining-liberty,constitution,congress,gov,403
defining-liberty,,constitutioncenter,org,403
defining-liberty,,constitutioncenter,org,403
defining-liberty,,constitutioncenter,org,403
defining-liberty,constitution,congress,gov,403
defining-liberty,constitution,congress,gov,403
defining-liberty,www.law,cornell,edu,200
defining-liberty,www.law,cornell,edu,200
defining-liberty,constitution,congress,gov,403
defining-liberty,www,crf-usa,org,404
defining-liberty,www,senate,gov,200
defining-liberty,constitution,congress,gov,403
