video,subdomain,domain,top_level,response
russian-collusion-and-the-death-of-journalism,,thehill,com,403
russian-collusion-and-the-death-of-journalism,www,cjr,org,403
russian-collusion-and-the-death-of-journalism,www,cjr,org,403
russian-collusion-and-the-death-of-journalism,www,cjr,org,403
russian-collusion-and-the-death-of-journalism,,apnews,com,200
russian-collusion-and-the-death-of-journalism,www,foxnews,com,200
russian-collusion-and-the-death-of-journalism,,thehill,com,403
russian-collusion-and-the-death-of-journalism,www,cjr,org,403
russian-collusion-and-the-death-of-journalism,,theintercept,com,200
russian-collusion-and-the-death-of-journalism,www,cnn,com,200
russian-collusion-and-the-death-of-journalism,www,nytimes,com,403
russian-collusion-and-the-death-of-journalism,,nymag,com,200
russian-collusion-and-the-death-of-journalism,,nymag,com,200
russian-collusion-and-the-death-of-journalism,,fortune,com,200
russian-collusion-and-the-death-of-journalism,www,cnn,com,200
russian-collusion-and-the-death-of-journalism,www,heritage,org,200
russian-collusion-and-the-death-of-journalism,www,usatoday,com,200
russian-collusion-and-the-death-of-journalism,,nypost,com,200
russian-collusion-and-the-death-of-journalism,,nypost,com,200
russian-collusion-and-the-death-of-journalism,news,gallup,com,200
russian-collusion-and-the-death-of-journalism,www,bbc,com,200
russian-collusion-and-the-death-of-journalism,,apnews,com,404
russian-collusion-and-the-death-of-journalism,www,washingtonpost,com,200
russian-collusion-and-the-death-of-journalism,www,washingtonpost,com,200
