video,subdomain,domain,top_level,response
the-constitution-presidential-powers,www,archives,gov,200
the-constitution-presidential-powers,constitution,congress,gov,403
the-constitution-presidential-powers,constitution,congress,gov,403
the-constitution-presidential-powers,constitution,congress,gov,403
the-constitution-presidential-powers,www,amazon,com,500
the-constitution-presidential-powers,www,whitehouse,gov,200
the-constitution-presidential-powers,constitution,congress,gov,403
the-constitution-presidential-powers,www,archives,gov,200
the-constitution-presidential-powers,constitution,congress,gov,403
the-constitution-presidential-powers,shop,heritage,org,200
the-constitution-presidential-powers,www,senate,gov,200
the-constitution-presidential-powers,shop,heritage,org,200
the-constitution-presidential-powers,shop,heritage,org,200
the-constitution-presidential-powers,www,amazon,com,500
the-constitution-presidential-powers,avalon.law,yale,edu,200
the-constitution-presidential-powers,history,house,gov,200
the-constitution-presidential-powers,www,archives,gov,200
the-constitution-presidential-powers,www,bartleby,com,200
the-constitution-presidential-powers,shop,heritage,org,200
the-constitution-presidential-powers,supreme,justia,com,200
