video,subdomain,domain,top_level,response
the-constitution-the-supreme-court,www,archives,gov,200
the-constitution-the-supreme-court,www,archives,gov,200
the-constitution-the-supreme-court,www,archives,gov,200
the-constitution-the-supreme-court,www,archives,gov,200
the-constitution-the-supreme-court,,theconversation,com,403
the-constitution-the-supreme-court,www,archives,gov,200
the-constitution-the-supreme-court,www.law,cornell,edu,200
the-constitution-the-supreme-court,www,archives,gov,200
the-constitution-the-supreme-court,www,heritage,org,200
the-constitution-the-supreme-court,www,uscourts,gov,200
the-constitution-the-supreme-court,avalon.law,yale,edu,200
the-constitution-the-supreme-court,avalon.law,yale,edu,200
the-constitution-the-supreme-court,avalon.law,yale,edu,200
the-constitution-the-supreme-court,www,brownulr,org,200
the-constitution-the-supreme-court,academic,oup,com,403
the-constitution-the-supreme-court,www,governing,com,200
the-constitution-the-supreme-court,www,heritage,org,200
the-constitution-the-supreme-court,news,uga,edu,200
the-constitution-the-supreme-court,cptl,asu,edu,200
the-constitution-the-supreme-court,,millercenter,org,200
the-constitution-the-supreme-court,www.law,cornell,edu,200
the-constitution-the-supreme-court,www,supremecourt,gov,200
