video,subdomain,domain,top_level,response
they-say-scandinavia-but-they-mean-venezuela,,,,404
they-say-scandinavia-but-they-mean-venezuela,,taxfoundation,org,200
they-say-scandinavia-but-they-mean-venezuela,,fee,org,403
they-say-scandinavia-but-they-mean-venezuela,,taxfoundation,org,200
they-say-scandinavia-but-they-mean-venezuela,www,bbc,com,200
they-say-scandinavia-but-they-mean-venezuela,www,cato,org,200
they-say-scandinavia-but-they-mean-venezuela,www,cato,org,200
they-say-scandinavia-but-they-mean-venezuela,,taxfoundation,org,200
they-say-scandinavia-but-they-mean-venezuela,www,theatlantic,com,200
they-say-scandinavia-but-they-mean-venezuela,www,prageru,com,200
they-say-scandinavia-but-they-mean-venezuela,abcnews,go,com,200
they-say-scandinavia-but-they-mean-venezuela,www,forbes,com,200
they-say-scandinavia-but-they-mean-venezuela,www,reuters,com,401
they-say-scandinavia-but-they-mean-venezuela,www,heritage,org,200
they-say-scandinavia-but-they-mean-venezuela,www,heritage,org,200
they-say-scandinavia-but-they-mean-venezuela,www,amazon,com,500
they-say-scandinavia-but-they-mean-venezuela,www,prageru,com,200
they-say-scandinavia-but-they-mean-venezuela,www,prageru,com,200
they-say-scandinavia-but-they-mean-venezuela,www,hrw,org,200
they-say-scandinavia-but-they-mean-venezuela,www,nytimes,com,403
they-say-scandinavia-but-they-mean-venezuela,www,foxnews,com,200
they-say-scandinavia-but-they-mean-venezuela,www,npr,org,200
they-say-scandinavia-but-they-mean-venezuela,www,economist,com,200
they-say-scandinavia-but-they-mean-venezuela,,taxfoundation,org,200
they-say-scandinavia-but-they-mean-venezuela,www,aei,org,200
