video,subdomain,domain,top_level,response
totalitarianism-can-it-happen-in-america,crsreports,congress,gov,403
totalitarianism-can-it-happen-in-america,www,wsj,com,403
totalitarianism-can-it-happen-in-america,www,amazon,com,500
totalitarianism-can-it-happen-in-america,www,amazon,com,500
totalitarianism-can-it-happen-in-america,www,heritage,org,200
totalitarianism-can-it-happen-in-america,www,reuters,com,401
totalitarianism-can-it-happen-in-america,www,loc,gov,200
totalitarianism-can-it-happen-in-america,www,usatoday,com,200
totalitarianism-can-it-happen-in-america,,time,com,200
totalitarianism-can-it-happen-in-america,www,prageru,com,200
totalitarianism-can-it-happen-in-america,,twitter,com,200
totalitarianism-can-it-happen-in-america,www,pbs,org,200
totalitarianism-can-it-happen-in-america,news,bloomberglaw,com,200
totalitarianism-can-it-happen-in-america,www,dailymail,co.uk,200
totalitarianism-can-it-happen-in-america,press-files,anu,edu.au,200
totalitarianism-can-it-happen-in-america,www,washingtonpost,com,200
totalitarianism-can-it-happen-in-america,virtuallaboratory,colorado,edu,404
