video,subdomain,domain,top_level,response
what-is-crony-capitalism,www,mercatus,org,403
what-is-crony-capitalism,www,mercatus,org,403
what-is-crony-capitalism,www,mercatus,org,403
what-is-crony-capitalism,,fee,org,403
what-is-crony-capitalism,www,amazon,com,500
what-is-crony-capitalism,www,amazon,com,500
what-is-crony-capitalism,www,amazon,com,500
what-is-crony-capitalism,www,mercatus,org,403
what-is-crony-capitalism,www,amazon,com,500
what-is-crony-capitalism,www,prageru,com,404
what-is-crony-capitalism,economics,mit,edu,404
what-is-crony-capitalism,www,amazon,com,500
what-is-crony-capitalism,www,amazon,com,500
what-is-crony-capitalism,www,prageru,com,404
what-is-crony-capitalism,,reason,com,200
what-is-crony-capitalism,,fee,org,403
what-is-crony-capitalism,,reason,com,200
what-is-crony-capitalism,www,heritage,org,200
what-is-crony-capitalism,www,heritage,org,200
what-is-crony-capitalism,,fee,org,403
what-is-crony-capitalism,,commonsenseeconomics,com,200
what-is-crony-capitalism,,fee,org,403
what-is-crony-capitalism,www,nationalreview,com,200
what-is-crony-capitalism,www,nationalreview,com,200
