video,subdomain,domain,top_level,response
who-are-the-most-powerful-people-in-america,www,britannica,com,200
who-are-the-most-powerful-people-in-america,onlinempadegree,usfca,edu,404
who-are-the-most-powerful-people-in-america,www,whitehouse,gov,200
who-are-the-most-powerful-people-in-america,imprimis,hillsdale,edu,200
who-are-the-most-powerful-people-in-america,www,britannica,com,200
who-are-the-most-powerful-people-in-america,www.law,cornell,edu,200
who-are-the-most-powerful-people-in-america,www,washingtonexaminer,com,403
who-are-the-most-powerful-people-in-america,www,heritage,org,200
who-are-the-most-powerful-people-in-america,www.press,uchicago,edu,200
who-are-the-most-powerful-people-in-america,www,history,com,200
who-are-the-most-powerful-people-in-america,,millercenter,org,200
who-are-the-most-powerful-people-in-america,www,foxnews,com,200
who-are-the-most-powerful-people-in-america,,reason,org,200
who-are-the-most-powerful-people-in-america,www,youtube,com,200
who-are-the-most-powerful-people-in-america,www,youtube,com,200
who-are-the-most-powerful-people-in-america,www,britannica,com,200
who-are-the-most-powerful-people-in-america,www,dennisprager,com,200
who-are-the-most-powerful-people-in-america,www,nationalreview,com,200
who-are-the-most-powerful-people-in-america,www,nationalreview,com,200
who-are-the-most-powerful-people-in-america,www.press,uchicago,edu,200
who-are-the-most-powerful-people-in-america,www,washingtonpost,com,200
