video,subdomain,domain,top_level,response
why-were-losing-liberty,,constitutioncenter,org,403
why-were-losing-liberty,,constitutioncenter,org,403
why-were-losing-liberty,,constitutioncenter,org,403
why-were-losing-liberty,,constitutioncenter,org,403
why-were-losing-liberty,,constitutioncenter,org,403
why-were-losing-liberty,,constitutioncenter,org,403
why-were-losing-liberty,,constitutioncenter,org,403
why-were-losing-liberty,,constitutioncenter,org,403
why-were-losing-liberty,,fee,org,403
why-were-losing-liberty,www,britannica,com,200
why-were-losing-liberty,www,firstthings,com,200
why-were-losing-liberty,www,supremecourt,gov,200
why-were-losing-liberty,www,firstthings,com,200
why-were-losing-liberty,,fee,org,403
why-were-losing-liberty,www,prageru,com,404
why-were-losing-liberty,www,firstthings,com,200
why-were-losing-liberty,www,sandiego,edu,200
why-were-losing-liberty,www,hoover,org,200
why-were-losing-liberty,www,nationalreview,com,200
why-were-losing-liberty,www,nationalreview,com,200
why-were-losing-liberty,www,nationalreview,com,200
why-were-losing-liberty,www,nationalreview,com,200
why-were-losing-liberty,digitalcommons.law,yale,edu,200
why-were-losing-liberty,www,washingtonpost,com,200
