video,subdomain,domain,top_level,response
are-humans-more-valuable-than-animals,www,amazon,com,500
are-humans-more-valuable-than-animals,www,c-span,org,403
are-humans-more-valuable-than-animals,www,amazon,com,500
are-humans-more-valuable-than-animals,www,amazon,com,500
are-humans-more-valuable-than-animals,www,amazon,com,500
are-humans-more-valuable-than-animals,en,wikipedia,org,200
are-humans-more-valuable-than-animals,en,wikipedia,org,200
are-humans-more-valuable-than-animals,www,prageru,com,404
are-humans-more-valuable-than-animals,www,prageru,com,404
are-humans-more-valuable-than-animals,www,prageru,com,404
are-humans-more-valuable-than-animals,www,dennisprager,com,200
are-humans-more-valuable-than-animals,www,dennisprager,com,200
are-humans-more-valuable-than-animals,www,prageru,com,404
are-humans-more-valuable-than-animals,www,amazon,com,500
are-humans-more-valuable-than-animals,www,amazon,com,500
are-humans-more-valuable-than-animals,www,prageru,com,404
are-humans-more-valuable-than-animals,en,wikipedia,org,200
are-humans-more-valuable-than-animals,www,amazon,com,500
are-humans-more-valuable-than-animals,www,prageru,com,404
are-humans-more-valuable-than-animals,www.global,nationalreview,com,404
are-humans-more-valuable-than-animals,www,amazon,com,500
are-humans-more-valuable-than-animals,www.global,nationalreview,com,404
are-humans-more-valuable-than-animals,www,equip,org,403
are-humans-more-valuable-than-animals,www,amazon,com,500
are-humans-more-valuable-than-animals,www,prageru,com,404
are-humans-more-valuable-than-animals,www,dennisprager,com,200
are-humans-more-valuable-than-animals,www,nationalreview,com,200
are-humans-more-valuable-than-animals,www,nationalreview,com,200
are-humans-more-valuable-than-animals,www,nationalreview,com,200
are-humans-more-valuable-than-animals,www,nationalreview,com,200
are-humans-more-valuable-than-animals,www,nationalreview,com,200
are-humans-more-valuable-than-animals,www,nationalreview,com,200
