video,subdomain,domain,top_level,response
are-people-born-good,www,amazon,com,500
are-people-born-good,www,amazon,com,500
are-people-born-good,www,amazon,com,500
are-people-born-good,www,theatlantic,com,200
are-people-born-good,www,amazon,com,500
are-people-born-good,www,amazon,com,500
are-people-born-good,www,prageru,com,404
are-people-born-good,www,prageru,com,404
are-people-born-good,,townhall,com,404
are-people-born-good,www,amazon,com,500
are-people-born-good,www,amazon,com,500
are-people-born-good,www,amazon,com,500
are-people-born-good,,townhall,com,404
are-people-born-good,www,amazon,com,500
are-people-born-good,www,amazon,com,500
are-people-born-good,,townhall,com,404
are-people-born-good,www,amazon,com,500
are-people-born-good,www,prageru,com,404
are-people-born-good,www,prageru,com,404
are-people-born-good,www,amazon,com,500
are-people-born-good,www,amazon,com,500
are-people-born-good,www,amazon,com,500
are-people-born-good,www,dennisprager,com,200
are-people-born-good,www,dennisprager,com,200
are-people-born-good,www,dennisprager,com,200
are-people-born-good,www,dennisprager,com,200
are-people-born-good,www,amazon,com,500
are-people-born-good,www,amazon,com,500
are-people-born-good,,townhall,com,404
are-people-born-good,www,amazon,com,500
are-people-born-good,www,prageru,com,404
are-people-born-good,www,amazon,com,500
are-people-born-good,www,beliefnet,com,200
are-people-born-good,www,amazon,com,500
are-people-born-good,www,amazon,com,500
are-people-born-good,www,prageru,com,404
are-people-born-good,www,amazon,com,500
are-people-born-good,www,globalissues,org,200
are-people-born-good,www,amazon,com,500
are-people-born-good,www,heritage,org,200
are-people-born-good,www,amazon,com,500
are-people-born-good,www,amazon,com,500
are-people-born-good,www,nybooks,com,200
are-people-born-good,www,amazon,com,500
are-people-born-good,www,amazon,com,500
are-people-born-good,www,amazon,com,500
are-people-born-good,www,amazon,com,500
are-people-born-good,www,prageru,com,404
are-people-born-good,www,amazon,com,500
are-people-born-good,www,amazon,com,500
are-people-born-good,www,nybooks,com,200
are-people-born-good,www,prageru,com,404
are-people-born-good,www,heritage,org,200
are-people-born-good,www,globalissues,org,200
are-people-born-good,,time,com,200
are-people-born-good,,townhall,com,404
