video,subdomain,domain,top_level,response
does-science-argue-for-or-against-god,www,wsj,com,403
does-science-argue-for-or-against-god,www,wsj,com,403
does-science-argue-for-or-against-god,www,wsj,com,403
does-science-argue-for-or-against-god,,biologos,org,200
does-science-argue-for-or-against-god,www,wsj,com,403
does-science-argue-for-or-against-god,www,wsj,com,403
does-science-argue-for-or-against-god,www,wsj,com,403
does-science-argue-for-or-against-god,www,wsj,com,403
does-science-argue-for-or-against-god,www,wsj,com,403
does-science-argue-for-or-against-god,www,wsj,com,403
does-science-argue-for-or-against-god,www,wsj,com,403
does-science-argue-for-or-against-god,www,wsj,com,403
does-science-argue-for-or-against-god,,biologos,org,200
does-science-argue-for-or-against-god,,biologos,org,200
does-science-argue-for-or-against-god,www,reasonablefaith,org,200
does-science-argue-for-or-against-god,www,reasonablefaith,org,200
does-science-argue-for-or-against-god,www,reasonablefaith,org,200
does-science-argue-for-or-against-god,curious.astro,cornell,edu,404
does-science-argue-for-or-against-god,curious.astro,cornell,edu,404
does-science-argue-for-or-against-god,curious.astro,cornell,edu,404
