video,subdomain,domain,top_level,response
evolution-bacteria-to-beethoven,www,sciencedirect,com,403
evolution-bacteria-to-beethoven,www,discovery,org,403
evolution-bacteria-to-beethoven,www,discovery,org,403
evolution-bacteria-to-beethoven,www,discovery,org,403
evolution-bacteria-to-beethoven,www,sciencehistory,org,200
evolution-bacteria-to-beethoven,,darwin-online,org.uk,200
evolution-bacteria-to-beethoven,www,discovery,org,403
evolution-bacteria-to-beethoven,www,discovery,org,403
evolution-bacteria-to-beethoven,www,discovery,org,403
evolution-bacteria-to-beethoven,www,discovery,org,403
evolution-bacteria-to-beethoven,www,discovery,org,403
evolution-bacteria-to-beethoven,,intelligentdesign,org,403
evolution-bacteria-to-beethoven,www,icr,org,200
evolution-bacteria-to-beethoven,www,discovery,org,403
evolution-bacteria-to-beethoven,www,discovery,org,403
evolution-bacteria-to-beethoven,www,discovery,org,200
evolution-bacteria-to-beethoven,www,britannica,com,200
evolution-bacteria-to-beethoven,www,discovery,org,403
evolution-bacteria-to-beethoven,www,discovery,org,403
evolution-bacteria-to-beethoven,,darwinsdoubt,com,403
