video,subdomain,domain,top_level,response
for-an-eye-one-of-the-greatest-ideas-in-history,www,amazon,com,500
for-an-eye-one-of-the-greatest-ideas-in-history,www,theatlantic,com,200
for-an-eye-one-of-the-greatest-ideas-in-history,www,amazon,com,500
for-an-eye-one-of-the-greatest-ideas-in-history,www,pbs,org,200
for-an-eye-one-of-the-greatest-ideas-in-history,www,heritage,org,200
for-an-eye-one-of-the-greatest-ideas-in-history,www,biblegateway,com,200
for-an-eye-one-of-the-greatest-ideas-in-history,www,amazon,com,500
for-an-eye-one-of-the-greatest-ideas-in-history,www,theblaze,com,200
for-an-eye-one-of-the-greatest-ideas-in-history,www,theatlantic,com,200
for-an-eye-one-of-the-greatest-ideas-in-history,www,prageru,com,404
for-an-eye-one-of-the-greatest-ideas-in-history,www,prageru,com,200
for-an-eye-one-of-the-greatest-ideas-in-history,,theopolisinstitute,com,200
for-an-eye-one-of-the-greatest-ideas-in-history,www,prageru,com,200
for-an-eye-one-of-the-greatest-ideas-in-history,www,dennisprager,com,200
for-an-eye-one-of-the-greatest-ideas-in-history,www,dennisprager,com,200
for-an-eye-one-of-the-greatest-ideas-in-history,www,dennisprager,com,200
for-an-eye-one-of-the-greatest-ideas-in-history,www,nationalreview,com,200
for-an-eye-one-of-the-greatest-ideas-in-history,www,nationalreview,com,200
