video,subdomain,domain,top_level,response
god-vs-atheism-which-is-more-rational,www,amazon,com,500
god-vs-atheism-which-is-more-rational,www,amazon,com,500
god-vs-atheism-which-is-more-rational,www,amazon,com,500
god-vs-atheism-which-is-more-rational,www,youtube,com,200
god-vs-atheism-which-is-more-rational,www,amazon,com,500
god-vs-atheism-which-is-more-rational,www,youtube,com,200
god-vs-atheism-which-is-more-rational,www,peterkreeft,com,406
god-vs-atheism-which-is-more-rational,www,peterkreeft,com,406
god-vs-atheism-which-is-more-rational,www,peterkreeft,com,406
god-vs-atheism-which-is-more-rational,www,peterkreeft,com,406
god-vs-atheism-which-is-more-rational,www,peterkreeft,com,406
god-vs-atheism-which-is-more-rational,www,peterkreeft,com,406
god-vs-atheism-which-is-more-rational,www,peterkreeft,com,406
god-vs-atheism-which-is-more-rational,www,peterkreeft,com,406
god-vs-atheism-which-is-more-rational,www,peterkreeft,com,406
god-vs-atheism-which-is-more-rational,www,peterkreeft,com,406
god-vs-atheism-which-is-more-rational,www,amazon,com,500
god-vs-atheism-which-is-more-rational,www,peterkreeft,com,406
god-vs-atheism-which-is-more-rational,www,amazon,com,500
god-vs-atheism-which-is-more-rational,www,catholiceducation,org,200
god-vs-atheism-which-is-more-rational,www,youtube,com,200
god-vs-atheism-which-is-more-rational,www,youtube,com,200
god-vs-atheism-which-is-more-rational,www,amazon,com,500
god-vs-atheism-which-is-more-rational,www,amazon,com,500
god-vs-atheism-which-is-more-rational,www,peterkreeft,com,406
god-vs-atheism-which-is-more-rational,www,peterkreeft,com,406
god-vs-atheism-which-is-more-rational,www,amazon,com,500
god-vs-atheism-which-is-more-rational,www,amazon,com,500
god-vs-atheism-which-is-more-rational,www,peterkreeft,com,406
god-vs-atheism-which-is-more-rational,www,youtube,com,200
god-vs-atheism-which-is-more-rational,www,youtube,com,200
god-vs-atheism-which-is-more-rational,www,youtube,com,200
god-vs-atheism-which-is-more-rational,www,amazon,com,500
god-vs-atheism-which-is-more-rational,www,catholiceducation,org,200
god-vs-atheism-which-is-more-rational,www,amazon,com,500
god-vs-atheism-which-is-more-rational,www,reasonablefaith,org,200
god-vs-atheism-which-is-more-rational,www,youtube,com,200
god-vs-atheism-which-is-more-rational,www,catholiceducation,org,200
god-vs-atheism-which-is-more-rational,www,peterkreeft,com,406
god-vs-atheism-which-is-more-rational,www,reasonablefaith,org,200
god-vs-atheism-which-is-more-rational,www,reasonablefaith,org,200
god-vs-atheism-which-is-more-rational,www,reasonablefaith,org,200
god-vs-atheism-which-is-more-rational,www,reasonablefaith,org,200
