video,subdomain,domain,top_level,response
how-the-reformation-shaped-your-world,www,amazon,com,503
how-the-reformation-shaped-your-world,,lutheranreformation,org,404
how-the-reformation-shaped-your-world,www,amazon,com,500
how-the-reformation-shaped-your-world,,lutheranreformation,org,404
how-the-reformation-shaped-your-world,exhibits.lib,byu,edu,200
how-the-reformation-shaped-your-world,www,youtube,com,200
how-the-reformation-shaped-your-world,www,amazon,com,500
how-the-reformation-shaped-your-world,www,smu,edu,200
how-the-reformation-shaped-your-world,www,britannica,com,200
how-the-reformation-shaped-your-world,www,britannica,com,200
how-the-reformation-shaped-your-world,,getty,edu,200
how-the-reformation-shaped-your-world,www,luther,de,200
how-the-reformation-shaped-your-world,www,luther,de,200
how-the-reformation-shaped-your-world,www,amazon,com,500
how-the-reformation-shaped-your-world,www,britannica,com,200
how-the-reformation-shaped-your-world,www,freerepublic,com,200
how-the-reformation-shaped-your-world,www,museeprotestant,org,200
how-the-reformation-shaped-your-world,www,museeprotestant,org,200
how-the-reformation-shaped-your-world,www,museeprotestant,org,200
how-the-reformation-shaped-your-world,www,britannica,com,200
how-the-reformation-shaped-your-world,www,youtube,com,200
how-the-reformation-shaped-your-world,reformation500,csl,edu,200
how-the-reformation-shaped-your-world,www,britannica,com,200
how-the-reformation-shaped-your-world,,libertymagazine,org,200
how-the-reformation-shaped-your-world,www,britannica,com,200
how-the-reformation-shaped-your-world,www,history,com,200
how-the-reformation-shaped-your-world,www,museeprotestant,org,200
how-the-reformation-shaped-your-world,www,museeprotestant,org,200
how-the-reformation-shaped-your-world,,voxeu,org,200
how-the-reformation-shaped-your-world,www,habsburger,net,200
how-the-reformation-shaped-your-world,www,history,com,200
