video,subdomain,domain,top_level,response
religious-tolerance-made-in-america,,constitutioncenter,org,403
religious-tolerance-made-in-america,,constitutioncenter,org,403
religious-tolerance-made-in-america,www,amazon,com,500
religious-tolerance-made-in-america,www,amazon,com,500
religious-tolerance-made-in-america,,nationalhumanitiescenter,org,200
religious-tolerance-made-in-america,www,amazon,com,500
religious-tolerance-made-in-america,,nationalhumanitiescenter,org,200
religious-tolerance-made-in-america,www,prageru,com,404
religious-tolerance-made-in-america,www,history,com,200
religious-tolerance-made-in-america,,nationalhumanitiescenter,org,200
religious-tolerance-made-in-america,www,amazon,com,500
religious-tolerance-made-in-america,www,amazon,com,500
religious-tolerance-made-in-america,,nationalhumanitiescenter,org,200
religious-tolerance-made-in-america,iipdigital,usembassy,gov,200
religious-tolerance-made-in-america,,historynewsnetwork,org,200
religious-tolerance-made-in-america,www,montpelier,org,403
religious-tolerance-made-in-america,www,youtube,com,200
religious-tolerance-made-in-america,www,thepublicdiscourse,com,403
religious-tolerance-made-in-america,www,amazon,com,500
religious-tolerance-made-in-america,www,amazon,com,500
religious-tolerance-made-in-america,www,prageru,com,404
religious-tolerance-made-in-america,www,amazon,com,500
religious-tolerance-made-in-america,www,amazon,com,500
religious-tolerance-made-in-america,www,history,com,200
religious-tolerance-made-in-america,www,catholiceducation,org,200
religious-tolerance-made-in-america,,historynewsnetwork,org,200
