video,subdomain,domain,top_level,response
social-justice-isnt-justice,www,usatoday,com,200
social-justice-isnt-justice,www,un,org,403
social-justice-isnt-justice,www,biblegateway,com,200
social-justice-isnt-justice,,,,404
social-justice-isnt-justice,www,biblegateway,com,200
social-justice-isnt-justice,www,biblegateway,com,200
social-justice-isnt-justice,www,prageru,com,404
social-justice-isnt-justice,www,prageru,com,200
social-justice-isnt-justice,www,theatlantic,com,200
social-justice-isnt-justice,,,,404
social-justice-isnt-justice,www,prageru,com,200
social-justice-isnt-justice,www,prageru,com,200
social-justice-isnt-justice,www,biblegateway,com,200
social-justice-isnt-justice,www,prageru,com,200
social-justice-isnt-justice,www,nydailynews,com,200
social-justice-isnt-justice,www,theatlantic,com,200
social-justice-isnt-justice,www,thedailybeast,com,200
social-justice-isnt-justice,www,nationalreview,com,200
social-justice-isnt-justice,www,nationalreview,com,200
