video,subdomain,domain,top_level,response
the-benefits-of-belief,www,peterkreeft,com,406
the-benefits-of-belief,www,peterkreeft,com,406
the-benefits-of-belief,www,peterkreeft,com,406
the-benefits-of-belief,www,amazon,com,500
the-benefits-of-belief,www,amazon,com,500
the-benefits-of-belief,www,youtube,com,200
the-benefits-of-belief,www,amazon,com,500
the-benefits-of-belief,www,amazon,com,500
the-benefits-of-belief,www,youtube,com,200
the-benefits-of-belief,www,youtube,com,200
the-benefits-of-belief,www,amazon,com,500
the-benefits-of-belief,www,prageru,com,404
the-benefits-of-belief,www,peterkreeft,com,406
the-benefits-of-belief,www,amazon,com,500
the-benefits-of-belief,www,amazon,com,500
the-benefits-of-belief,www,youtube,com,200
the-benefits-of-belief,www,youtube,com,200
the-benefits-of-belief,www,amazon,com,500
the-benefits-of-belief,www,prageru,com,404
the-benefits-of-belief,www,amazon,com,500
the-benefits-of-belief,www,amazon,com,500
the-benefits-of-belief,www,dailymail,co.uk,200
the-benefits-of-belief,www,youtube,com,200
the-benefits-of-belief,www,youtube,com,200
the-benefits-of-belief,www,youtube,com,200
the-benefits-of-belief,www,vatican,va,404
the-benefits-of-belief,www,amazon,com,500
the-benefits-of-belief,www,peterkreeft,com,406
the-benefits-of-belief,www,prageru,com,404
the-benefits-of-belief,www,amazon,com,500
the-benefits-of-belief,www,amazon,com,500
the-benefits-of-belief,www,vatican,va,404
the-benefits-of-belief,www,amazon,com,500
the-benefits-of-belief,www,peterkreeft,com,406
the-benefits-of-belief,www,amazon,com,500
the-benefits-of-belief,www,pewforum,org,200
the-benefits-of-belief,www,amazon,com,500
the-benefits-of-belief,www,amazon,com,500
the-benefits-of-belief,www,youtube,com,200
the-benefits-of-belief,www,prageru,com,404
the-benefits-of-belief,www,amazon,com,500
the-benefits-of-belief,www,prageru,com,404
the-benefits-of-belief,www,prageru,com,404
the-benefits-of-belief,www,youtube,com,200
the-benefits-of-belief,www,youtube,com,200
the-benefits-of-belief,www,reasonablefaith,org,200
the-benefits-of-belief,www,reasonablefaith,org,200
