video,subdomain,domain,top_level,response
the-best-book-to-read-to-your-kids,www,americamagazine,org,200
the-best-book-to-read-to-your-kids,www,biblestudytools,com,200
the-best-book-to-read-to-your-kids,,baptistnews,com,403
the-best-book-to-read-to-your-kids,www,patheos,com,200
the-best-book-to-read-to-your-kids,www,patheos,com,200
the-best-book-to-read-to-your-kids,www,biblegateway,com,200
the-best-book-to-read-to-your-kids,www,biblegateway,com,200
the-best-book-to-read-to-your-kids,kinginstitute,stanford,edu,200
the-best-book-to-read-to-your-kids,www,prageru,com,200
the-best-book-to-read-to-your-kids,www,foxnews,com,200
the-best-book-to-read-to-your-kids,books,google,com,200
the-best-book-to-read-to-your-kids,,zondervanacademic,com,200
the-best-book-to-read-to-your-kids,,jewishjournal,com,403
the-best-book-to-read-to-your-kids,www,biblegateway,com,200
the-best-book-to-read-to-your-kids,library,udel,edu,200
the-best-book-to-read-to-your-kids,www,bibleodyssey,org,404
the-best-book-to-read-to-your-kids,www,prageru,com,200
the-best-book-to-read-to-your-kids,www,dennisprager,com,200
