video,subdomain,domain,top_level,response
the-ten-commandments-what-you-should-know,www,peterkreeft,com,406
the-ten-commandments-what-you-should-know,www,kofc,org,200
the-ten-commandments-what-you-should-know,www,kofc,org,200
the-ten-commandments-what-you-should-know,www,kofc,org,200
the-ten-commandments-what-you-should-know,books,google,com,200
the-ten-commandments-what-you-should-know,www,prageru,com,404
the-ten-commandments-what-you-should-know,www,prageru,com,404
the-ten-commandments-what-you-should-know,www,prageru,com,404
the-ten-commandments-what-you-should-know,books,google,com,200
the-ten-commandments-what-you-should-know,www,peterkreeft,com,406
the-ten-commandments-what-you-should-know,books,google,com,200
the-ten-commandments-what-you-should-know,www,prageru,com,404
the-ten-commandments-what-you-should-know,www.iep,utm,edu,200
the-ten-commandments-what-you-should-know,www,kofc,org,200
the-ten-commandments-what-you-should-know,www,peterkreeft,com,406
the-ten-commandments-what-you-should-know,www,prageru,com,404
the-ten-commandments-what-you-should-know,www,kofc,org,200
the-ten-commandments-what-you-should-know,books,google,com,200
the-ten-commandments-what-you-should-know,www,peterkreeft,com,406
the-ten-commandments-what-you-should-know,www,prageru,com,404
the-ten-commandments-what-you-should-know,www.iep,utm,edu,200
the-ten-commandments-what-you-should-know,books,google,com,200
the-ten-commandments-what-you-should-know,www,kofc,org,200
the-ten-commandments-what-you-should-know,www,peterkreeft,com,406
the-ten-commandments-what-you-should-know,books,google,com,200
the-ten-commandments-what-you-should-know,www,kofc,org,200
the-ten-commandments-what-you-should-know,www,kofc,org,200
the-ten-commandments-what-you-should-know,books,google,com,200
the-ten-commandments-what-you-should-know,www,peterkreeft,com,406
the-ten-commandments-what-you-should-know,www,prageru,com,404
the-ten-commandments-what-you-should-know,books,google,com,200
the-ten-commandments-what-you-should-know,www,peterkreeft,com,406
the-ten-commandments-what-you-should-know,www,kofc,org,200
the-ten-commandments-what-you-should-know,books,google,com,200
the-ten-commandments-what-you-should-know,www.iep,utm,edu,200
the-ten-commandments-what-you-should-know,www,kofc,org,200
the-ten-commandments-what-you-should-know,www,peterkreeft,com,406
the-ten-commandments-what-you-should-know,www,kofc,org,200
the-ten-commandments-what-you-should-know,books,google,com,200
the-ten-commandments-what-you-should-know,books,google,com,200
the-ten-commandments-what-you-should-know,books,google,com,200
the-ten-commandments-what-you-should-know,www,reasonablefaith,org,200
the-ten-commandments-what-you-should-know,www,kofc,org,200
the-ten-commandments-what-you-should-know,www.iep,utm,edu,200
the-ten-commandments-what-you-should-know,www,reasonablefaith,org,200
the-ten-commandments-what-you-should-know,www,reasonablefaith,org,200
the-ten-commandments-what-you-should-know,www,reasonablefaith,org,200
