video,subdomain,domain,top_level,response
was-america-founded-to-be-secular,www,nps,gov,200
was-america-founded-to-be-secular,,townhall,com,404
was-america-founded-to-be-secular,www,amazon,com,500
was-america-founded-to-be-secular,www,amazon,com,500
was-america-founded-to-be-secular,,townhall,com,404
was-america-founded-to-be-secular,www,prageru,com,404
was-america-founded-to-be-secular,,townhall,com,404
was-america-founded-to-be-secular,www,amazon,com,500
was-america-founded-to-be-secular,www,amazon,com,500
was-america-founded-to-be-secular,www,amazon,com,500
was-america-founded-to-be-secular,,joshuatcharles,com,404
was-america-founded-to-be-secular,www,prageru,com,404
was-america-founded-to-be-secular,www,amazon,com,500
was-america-founded-to-be-secular,,acton,org,200
was-america-founded-to-be-secular,,joshuatcharles,com,404
was-america-founded-to-be-secular,www,amazon,com,500
was-america-founded-to-be-secular,founders,archives,gov,200
was-america-founded-to-be-secular,avalon.law,yale,edu,200
was-america-founded-to-be-secular,www,prageru,com,404
was-america-founded-to-be-secular,,joshuatcharles,com,404
was-america-founded-to-be-secular,www,amazon,com,500
was-america-founded-to-be-secular,,acton,org,200
was-america-founded-to-be-secular,www,prageru,com,404
was-america-founded-to-be-secular,www,prageru,com,404
was-america-founded-to-be-secular,www1,cbn,com,200
was-america-founded-to-be-secular,chnm,gmu,edu,200
was-america-founded-to-be-secular,www1,cbn,com,200
was-america-founded-to-be-secular,www1,cbn,com,200
