video,subdomain,domain,top_level,response
was-jesus-a-socialist,,fee,org,403
was-jesus-a-socialist,,tifwe,org,403
was-jesus-a-socialist,www,biblegateway,com,200
was-jesus-a-socialist,www,biblegateway,com,200
was-jesus-a-socialist,www,huffpost,com,200
was-jesus-a-socialist,www,prageru,com,200
was-jesus-a-socialist,www,youtube,com,200
was-jesus-a-socialist,www,nationalreview,com,200
was-jesus-a-socialist,,fee,org,403
was-jesus-a-socialist,www,biblegateway,com,200
was-jesus-a-socialist,www,biblegateway,com,200
was-jesus-a-socialist,www,biblegateway,com,200
was-jesus-a-socialist,www,biblegateway,com,200
was-jesus-a-socialist,www,biblegateway,com,200
was-jesus-a-socialist,www,biblegateway,com,200
was-jesus-a-socialist,www,newsbusters,org,200
was-jesus-a-socialist,,fee,org,403
was-jesus-a-socialist,www,biblegateway,com,200
was-jesus-a-socialist,,acton,org,200
was-jesus-a-socialist,www,biblegateway,com,200
was-jesus-a-socialist,www,biblegateway,com,200
was-jesus-a-socialist,www,prageru,com,200
was-jesus-a-socialist,,fee,org,403
was-jesus-a-socialist,www,npr,org,200
was-jesus-a-socialist,www,nationalreview,com,200
was-jesus-a-socialist,www,biblegateway,com,200
