video,subdomain,domain,top_level,response
what-are-judeo-christian-values,www,archives,gov,200
what-are-judeo-christian-values,www,pewresearch,org,200
what-are-judeo-christian-values,www,csmedia1,com,403
what-are-judeo-christian-values,www,prageru,com,200
what-are-judeo-christian-values,www,jewishvirtuallibrary,org,200
what-are-judeo-christian-values,www,prageru,com,200
what-are-judeo-christian-values,www,prageru,com,200
what-are-judeo-christian-values,www,jewishvirtuallibrary,org,200
what-are-judeo-christian-values,www,prageru,com,200
what-are-judeo-christian-values,awpc.cattcenter,iastate,edu,200
what-are-judeo-christian-values,www,pewresearch,org,200
what-are-judeo-christian-values,www,jstor,org,420
what-are-judeo-christian-values,www,jewishvirtuallibrary,org,200
what-are-judeo-christian-values,www,jewishvirtuallibrary,org,200
what-are-judeo-christian-values,www,pewresearch,org,200
what-are-judeo-christian-values,www,heritage,org,200
what-are-judeo-christian-values,www,prageru,com,200
what-are-judeo-christian-values,www,jewishvirtuallibrary,org,200
what-are-judeo-christian-values,www,amazon,com,500
what-are-judeo-christian-values,www,nationalreview,com,200
what-are-judeo-christian-values,www,prageru,com,200
what-are-judeo-christian-values,founders,archives,gov,200
what-are-judeo-christian-values,www,jstor,org,420
what-are-judeo-christian-values,www,pewresearch,org,200
