video,subdomain,domain,top_level,response
what-was-the-enlightenment,www,cato,org,200
what-was-the-enlightenment,,jerusalemletters,com,403
what-was-the-enlightenment,www,britannica,com,200
what-was-the-enlightenment,plato,stanford,edu,200
what-was-the-enlightenment,,loc,gov,200
what-was-the-enlightenment,www,wsj,com,403
what-was-the-enlightenment,,jerusalemletters,com,403
what-was-the-enlightenment,www,nybooks,com,200
what-was-the-enlightenment,www,amazon,com,500
what-was-the-enlightenment,www,britannica,com,200
what-was-the-enlightenment,,jerusalemletters,com,403
what-was-the-enlightenment,plato,stanford,edu,200
what-was-the-enlightenment,plato,stanford,edu,200
what-was-the-enlightenment,www,rcplondon,ac.uk,404
what-was-the-enlightenment,www,prageru,com,200
what-was-the-enlightenment,,royalsociety,org,200
