video,subdomain,domain,top_level,response
whats-a-greater-leap-of-faith-god-or-the-multiverse,,ericmetaxas,com,403
whats-a-greater-leap-of-faith-god-or-the-multiverse,wmap.gsfc,nasa,gov,200
whats-a-greater-leap-of-faith-god-or-the-multiverse,www,prageru,com,200
whats-a-greater-leap-of-faith-god-or-the-multiverse,www,pbs,org,200
whats-a-greater-leap-of-faith-god-or-the-multiverse,www,youtube,com,200
whats-a-greater-leap-of-faith-god-or-the-multiverse,www,scientificamerican,com,403
whats-a-greater-leap-of-faith-god-or-the-multiverse,blogs,discovermagazine,com,404
whats-a-greater-leap-of-faith-god-or-the-multiverse,www,nytimes,com,403
whats-a-greater-leap-of-faith-god-or-the-multiverse,www,nytimes,com,403
whats-a-greater-leap-of-faith-god-or-the-multiverse,,discovermagazine,com,404
whats-a-greater-leap-of-faith-god-or-the-multiverse,www,prageru,com,200
whats-a-greater-leap-of-faith-god-or-the-multiverse,www,amazon,com,500
whats-a-greater-leap-of-faith-god-or-the-multiverse,,discovermagazine,com,404
whats-a-greater-leap-of-faith-god-or-the-multiverse,,time,com,200
whats-a-greater-leap-of-faith-god-or-the-multiverse,www,youtube,com,200
whats-a-greater-leap-of-faith-god-or-the-multiverse,www,pbs,org,200
whats-a-greater-leap-of-faith-god-or-the-multiverse,,time,com,200
whats-a-greater-leap-of-faith-god-or-the-multiverse,www,prageru,com,200
whats-a-greater-leap-of-faith-god-or-the-multiverse,www,telegraph,co.uk,200
whats-a-greater-leap-of-faith-god-or-the-multiverse,www,oxfordreference,com,403
whats-a-greater-leap-of-faith-god-or-the-multiverse,,ericmetaxas,com,403
whats-a-greater-leap-of-faith-god-or-the-multiverse,,discovermagazine,com,404
whats-a-greater-leap-of-faith-god-or-the-multiverse,www,prageru,com,404
whats-a-greater-leap-of-faith-god-or-the-multiverse,www,prageru,com,200
whats-a-greater-leap-of-faith-god-or-the-multiverse,www,irishtimes,com,200
