video,subdomain,domain,top_level,response
why-are-so-many-young-people-unhappy,www,wsj,com,403
why-are-so-many-young-people-unhappy,www,reuters,com,401
why-are-so-many-young-people-unhappy,www,amazon,com,500
why-are-so-many-young-people-unhappy,www,city-journal,org,200
why-are-so-many-young-people-unhappy,www,prageru,com,200
why-are-so-many-young-people-unhappy,www,prageru,com,200
why-are-so-many-young-people-unhappy,,prospect,org,200
why-are-so-many-young-people-unhappy,www,theamericanconservative,com,403
why-are-so-many-young-people-unhappy,www,theatlantic,com,200
why-are-so-many-young-people-unhappy,www,dailywire,com,200
why-are-so-many-young-people-unhappy,www,dailywire,com,200
why-are-so-many-young-people-unhappy,,www,gov.uk,200
why-are-so-many-young-people-unhappy,www,dailywire,com,200
why-are-so-many-young-people-unhappy,www,pewsocialtrends,org,200
why-are-so-many-young-people-unhappy,www,amazon,com,500
why-are-so-many-young-people-unhappy,news,gallup,com,200
why-are-so-many-young-people-unhappy,www,cigna,com,200
why-are-so-many-young-people-unhappy,www,prageru,com,200
why-are-so-many-young-people-unhappy,www.ncbi.nlm,nih,gov,200
why-are-so-many-young-people-unhappy,www,cigna,com,200
why-are-so-many-young-people-unhappy,www,pewforum,org,200
why-are-so-many-young-people-unhappy,www,cigna,com,200
