video,subdomain,domain,top_level,response
why-the-road-to-hell-is-paved-with-good-intentions,www,latimes,com,403
why-the-road-to-hell-is-paved-with-good-intentions,www,cato,org,200
why-the-road-to-hell-is-paved-with-good-intentions,www,ibtimes,com,403
why-the-road-to-hell-is-paved-with-good-intentions,,m4bl,org,200
why-the-road-to-hell-is-paved-with-good-intentions,www,heritage,org,200
why-the-road-to-hell-is-paved-with-good-intentions,,thefederalist,com,403
why-the-road-to-hell-is-paved-with-good-intentions,www,amazon,com,500
why-the-road-to-hell-is-paved-with-good-intentions,,rollcall,com,200
why-the-road-to-hell-is-paved-with-good-intentions,www,heritage,org,200
why-the-road-to-hell-is-paved-with-good-intentions,www,jstor,org,420
why-the-road-to-hell-is-paved-with-good-intentions,,apnews,com,404
why-the-road-to-hell-is-paved-with-good-intentions,www,heritage,org,200
why-the-road-to-hell-is-paved-with-good-intentions,www,heritage,org,200
why-the-road-to-hell-is-paved-with-good-intentions,www,csmonitor,com,200
why-the-road-to-hell-is-paved-with-good-intentions,www,amazon,com,500
why-the-road-to-hell-is-paved-with-good-intentions,sfi,usc,edu,200
why-the-road-to-hell-is-paved-with-good-intentions,,fee,org,403
why-the-road-to-hell-is-paved-with-good-intentions,www,heritage,org,200
why-the-road-to-hell-is-paved-with-good-intentions,,nypost,com,200
why-the-road-to-hell-is-paved-with-good-intentions,www,nationalreview,com,200
why-the-road-to-hell-is-paved-with-good-intentions,www,folger,edu,200
why-the-road-to-hell-is-paved-with-good-intentions,www,osti,gov,200
