video,subdomain,domain,top_level,response
why-you-should-care-about-passover,www,biblegateway,com,200
why-you-should-care-about-passover,www,biblegateway,com,200
why-you-should-care-about-passover,www,britannica,com,200
why-you-should-care-about-passover,www,amazon,com,500
why-you-should-care-about-passover,www,ifcj,org,403
why-you-should-care-about-passover,www,biblegateway,com,200
why-you-should-care-about-passover,sites,psu,edu,410
why-you-should-care-about-passover,www,pbs,org,200
why-you-should-care-about-passover,www,biblegateway,com,200
why-you-should-care-about-passover,www,biblegateway,com,200
why-you-should-care-about-passover,www,biblegateway,com,200
why-you-should-care-about-passover,www,myjewishlearning,com,200
why-you-should-care-about-passover,www,biblegateway,com,200
why-you-should-care-about-passover,www,biblegateway,com,200
why-you-should-care-about-passover,books,google,com,200
why-you-should-care-about-passover,www,loc,gov,200
why-you-should-care-about-passover,books,google,com,200
why-you-should-care-about-passover,www,amazon,com,500
why-you-should-care-about-passover,shec.ashp,cuny,edu,200
why-you-should-care-about-passover,www,biblegateway,com,200
why-you-should-care-about-passover,muse,jhu,edu,503
why-you-should-care-about-passover,www,biblegateway,com,200
why-you-should-care-about-passover,founders,archives,gov,200
why-you-should-care-about-passover,www,ifcj,org,403
