video,subdomain,domain,top_level,response
you-cant-be-free-without-this,constitution,congress,gov,403
you-cant-be-free-without-this,www,cato,org,200
you-cant-be-free-without-this,www,latimes,com,403
you-cant-be-free-without-this,www,archives,gov,200
you-cant-be-free-without-this,www.digitalhistory,uh,edu,200
you-cant-be-free-without-this,www,amazon,com,500
you-cant-be-free-without-this,www,theguardian,com,200
you-cant-be-free-without-this,www,businessinsider,com,200
you-cant-be-free-without-this,www,heritage,org,200
you-cant-be-free-without-this,www,heritage,org,200
you-cant-be-free-without-this,www,nps,gov,200
you-cant-be-free-without-this,www,archives,gov,200
you-cant-be-free-without-this,www,prageru,com,200
you-cant-be-free-without-this,www,archives,gov,200
you-cant-be-free-without-this,founders,archives,gov,200
you-cant-be-free-without-this,www,prageru,com,200
you-cant-be-free-without-this,,firstliberty,org,200
you-cant-be-free-without-this,www,prageru,com,200
you-cant-be-free-without-this,www,prageru,com,200
you-cant-be-free-without-this,www,archives,gov,200
you-cant-be-free-without-this,www,uscourts,gov,200
you-cant-be-free-without-this,,firstliberty,org,200
you-cant-be-free-without-this,,firstliberty,org,200
you-cant-be-free-without-this,www,christianpost,com,200
you-cant-be-free-without-this,www,loc,gov,200
you-cant-be-free-without-this,www,prageru,com,200
you-cant-be-free-without-this,www,mtsu,edu,403
you-cant-be-free-without-this,www,loc,gov,200
you-cant-be-free-without-this,www,loc,gov,200
you-cant-be-free-without-this,www,loc,gov,200
you-cant-be-free-without-this,www,loc,gov,200
you-cant-be-free-without-this,www,washingtonpost,com,200
