video,subdomain,domain,top_level,response
abundant-clean-and-safe,www,asirt,org,403
abundant-clean-and-safe,www,csmonitor,com,200
abundant-clean-and-safe,www,prageru,com,200
abundant-clean-and-safe,www,prageru,com,200
abundant-clean-and-safe,www,nei,org,403
abundant-clean-and-safe,www,ilo,org,404
abundant-clean-and-safe,www,who,int,200
abundant-clean-and-safe,www,who,int,200
abundant-clean-and-safe,www,amazon,com,500
abundant-clean-and-safe,www,vox,com,200
abundant-clean-and-safe,,environmentalprogress,org,200
abundant-clean-and-safe,www,forbes,com,200
abundant-clean-and-safe,www,world-nuclear,org,200
abundant-clean-and-safe,www,forbes,com,200
abundant-clean-and-safe,www,world-nuclear,org,200
abundant-clean-and-safe,www,world-nuclear,org,200
abundant-clean-and-safe,www,world-nuclear,org,200
abundant-clean-and-safe,www,world-nuclear,org,200
abundant-clean-and-safe,www,world-nuclear,org,200
