video,subdomain,domain,top_level,response
are-electric-cars-really-green,www,wsj,com,403
are-electric-cars-really-green,www,amazon,com,500
are-electric-cars-really-green,www,amazon,com,500
are-electric-cars-really-green,www,wsj,com,403
are-electric-cars-really-green,www,amazon,com,500
are-electric-cars-really-green,onlinelibrary,wiley,com,403
are-electric-cars-really-green,www,wsj,com,403
are-electric-cars-really-green,www,usatoday,com,200
are-electric-cars-really-green,www,usatoday,com,200
are-electric-cars-really-green,www,amazon,com,500
are-electric-cars-really-green,www,wsj,com,403
are-electric-cars-really-green,www,wsj,com,403
are-electric-cars-really-green,www,amazon,com,500
are-electric-cars-really-green,,energy,gov,404
are-electric-cars-really-green,www,prageru,com,404
are-electric-cars-really-green,www,prageru,com,404
are-electric-cars-really-green,www,prageru,com,404
are-electric-cars-really-green,www,prageru,com,404
are-electric-cars-really-green,www,technologyreview,com,200
