video,subdomain,domain,top_level,response
can-climate-models-predict-climate-change,www,hoover,org,200
can-climate-models-predict-climate-change,www,hoover,org,200
can-climate-models-predict-climate-change,www,hoover,org,200
can-climate-models-predict-climate-change,www,cato,org,200
can-climate-models-predict-climate-change,www,cato,org,200
can-climate-models-predict-climate-change,www,hoover,org,200
can-climate-models-predict-climate-change,,iedro,org,406
can-climate-models-predict-climate-change,www,nytimes,com,403
can-climate-models-predict-climate-change,www,amazon,com,500
can-climate-models-predict-climate-change,www,hoover,org,200
can-climate-models-predict-climate-change,www,amazon,com,500
can-climate-models-predict-climate-change,www,hoover,org,200
can-climate-models-predict-climate-change,www,prageru,com,200
can-climate-models-predict-climate-change,www,amazon,com,500
can-climate-models-predict-climate-change,www,hoover,org,200
can-climate-models-predict-climate-change,www,prageru,com,200
can-climate-models-predict-climate-change,,nypost,com,200
can-climate-models-predict-climate-change,www,prageru,com,200
can-climate-models-predict-climate-change,www,prageru,com,200
can-climate-models-predict-climate-change,www,hoover,org,200
can-climate-models-predict-climate-change,www,hoover,org,200
can-climate-models-predict-climate-change,www,newscientist,com,200
can-climate-models-predict-climate-change,www,newscientist,com,200
can-climate-models-predict-climate-change,,nypost,com,200
can-climate-models-predict-climate-change,www,amazon,com,500
can-climate-models-predict-climate-change,,thebestschools,org,404
can-climate-models-predict-climate-change,,nypost,com,200
can-climate-models-predict-climate-change,www,hoover,org,200
can-climate-models-predict-climate-change,,dailysignal,com,200
can-climate-models-predict-climate-change,,dailysignal,com,200
can-climate-models-predict-climate-change,,dailysignal,com,200
can-climate-models-predict-climate-change,,dailysignal,com,200
can-climate-models-predict-climate-change,,dailysignal,com,200
can-climate-models-predict-climate-change,,thebestschools,org,404
can-climate-models-predict-climate-change,,thebestschools,org,404
can-climate-models-predict-climate-change,,thebestschools,org,404
can-climate-models-predict-climate-change,,thebestschools,org,404
