video,subdomain,domain,top_level,response
can-we-rely-on-wind-and-solar-energy,www,eia,gov,200
can-we-rely-on-wind-and-solar-energy,www,eia,gov,200
can-we-rely-on-wind-and-solar-energy,econlog,econlib,org,403
can-we-rely-on-wind-and-solar-energy,,agmetalminer,com,410
can-we-rely-on-wind-and-solar-energy,www,ncpa,org,404
can-we-rely-on-wind-and-solar-energy,www,theguardian,com,200
can-we-rely-on-wind-and-solar-energy,www,brookings,edu,200
can-we-rely-on-wind-and-solar-energy,www,economist,com,200
can-we-rely-on-wind-and-solar-energy,www,economist,com,200
can-we-rely-on-wind-and-solar-energy,www,ncpa,org,404
can-we-rely-on-wind-and-solar-energy,www,economist,com,200
can-we-rely-on-wind-and-solar-energy,www,economist,com,200
can-we-rely-on-wind-and-solar-energy,econlog,econlib,org,403
can-we-rely-on-wind-and-solar-energy,,mediatrackers,org,404
can-we-rely-on-wind-and-solar-energy,www,reuters,com,401
can-we-rely-on-wind-and-solar-energy,www,eia,gov,200
can-we-rely-on-wind-and-solar-energy,econlog,econlib,org,403
can-we-rely-on-wind-and-solar-energy,econlog,econlib,org,403
can-we-rely-on-wind-and-solar-energy,www,dw,com,200
can-we-rely-on-wind-and-solar-energy,www,economist,com,200
can-we-rely-on-wind-and-solar-energy,www,ncpa,org,404
can-we-rely-on-wind-and-solar-energy,www,aei,org,200
can-we-rely-on-wind-and-solar-energy,www,aei,org,200
can-we-rely-on-wind-and-solar-energy,www,aei,org,200
can-we-rely-on-wind-and-solar-energy,www,aei,org,200
can-we-rely-on-wind-and-solar-energy,www,aei,org,200
can-we-rely-on-wind-and-solar-energy,www,aei,org,200
can-we-rely-on-wind-and-solar-energy,www,aei,org,200
can-we-rely-on-wind-and-solar-energy,www,aei,org,200
can-we-rely-on-wind-and-solar-energy,,mediatrackers,org,404
can-we-rely-on-wind-and-solar-energy,www,aei,org,200
