video,subdomain,domain,top_level,response
climate-change-what-do-scientists-say,www,cato,org,200
climate-change-what-do-scientists-say,www,amazon,com,500
climate-change-what-do-scientists-say,www,wsj,com,403
climate-change-what-do-scientists-say,www,wsj,com,403
climate-change-what-do-scientists-say,www,wsj,com,403
climate-change-what-do-scientists-say,www,cato,org,200
climate-change-what-do-scientists-say,www,wsj,com,403
climate-change-what-do-scientists-say,www,wsj,com,403
climate-change-what-do-scientists-say,www,cato,org,200
climate-change-what-do-scientists-say,www,wsj,com,403
climate-change-what-do-scientists-say,www,amazon,com,500
climate-change-what-do-scientists-say,www,wsj,com,403
climate-change-what-do-scientists-say,www,hoover,org,200
climate-change-what-do-scientists-say,www,amazon,com,500
climate-change-what-do-scientists-say,www,prageru,com,404
climate-change-what-do-scientists-say,www,wsj,com,403
climate-change-what-do-scientists-say,www,prageru,com,404
climate-change-what-do-scientists-say,www,newscientist,com,200
climate-change-what-do-scientists-say,www,wsj,com,403
