video,subdomain,domain,top_level,response
confessions-of-an-environmentalist,www,energy,gov,403
confessions-of-an-environmentalist,www,energy,gov,403
confessions-of-an-environmentalist,www,unep,org,403
confessions-of-an-environmentalist,,ourworldindata,org,200
confessions-of-an-environmentalist,www,engineering,com,403
confessions-of-an-environmentalist,obamawhitehouse,archives,gov,200
confessions-of-an-environmentalist,www,prageru,com,200
confessions-of-an-environmentalist,www,prageru,com,200
confessions-of-an-environmentalist,www,prageru,com,200
confessions-of-an-environmentalist,www,instituteforenergyresearch,org,200
confessions-of-an-environmentalist,www,heritage,org,200
confessions-of-an-environmentalist,www,cmu,edu,200
confessions-of-an-environmentalist,www,heritage,org,200
confessions-of-an-environmentalist,www,nrc,gov,200
