video,subdomain,domain,top_level,response
do-97-of-climate-scientists-really-agree,www,wsj,com,403
do-97-of-climate-scientists-really-agree,www,populartechnology,net,200
do-97-of-climate-scientists-really-agree,www,populartechnology,net,200
do-97-of-climate-scientists-really-agree,www,wsj,com,403
do-97-of-climate-scientists-really-agree,www,populartechnology,net,200
do-97-of-climate-scientists-really-agree,www,prageru,com,404
do-97-of-climate-scientists-really-agree,www,prageru,com,404
do-97-of-climate-scientists-really-agree,www,prageru,com,404
do-97-of-climate-scientists-really-agree,www,wsj,com,403
do-97-of-climate-scientists-really-agree,www,forbes,com,200
do-97-of-climate-scientists-really-agree,www,forbes,com,200
do-97-of-climate-scientists-really-agree,www,forbes,com,200
do-97-of-climate-scientists-really-agree,web,stanford,edu,200
do-97-of-climate-scientists-really-agree,www,wsj,com,403
do-97-of-climate-scientists-really-agree,www,forbes,com,200
do-97-of-climate-scientists-really-agree,www,forbes,com,200
do-97-of-climate-scientists-really-agree,www,wsj,com,403
do-97-of-climate-scientists-really-agree,www,nas,org,200
do-97-of-climate-scientists-really-agree,www,prageru,com,404
do-97-of-climate-scientists-really-agree,www,wsj,com,403
do-97-of-climate-scientists-really-agree,www,forbes,com,200
do-97-of-climate-scientists-really-agree,www,nas,org,200
do-97-of-climate-scientists-really-agree,www,nas,org,200
do-97-of-climate-scientists-really-agree,www,nature,com,200
do-97-of-climate-scientists-really-agree,www,forbes,com,200
do-97-of-climate-scientists-really-agree,web,stanford,edu,200
