video,subdomain,domain,top_level,response
do-we-have-to-destroy-the-earth-to-save-it,www,nytimes,com,403
do-we-have-to-destroy-the-earth-to-save-it,www,nytimes,com,403
do-we-have-to-destroy-the-earth-to-save-it,www,amazon,com,500
do-we-have-to-destroy-the-earth-to-save-it,www,abcbirds,org,403
do-we-have-to-destroy-the-earth-to-save-it,www,amazon,com,500
do-we-have-to-destroy-the-earth-to-save-it,journals,plos,org,200
do-we-have-to-destroy-the-earth-to-save-it,www,youtube,com,200
do-we-have-to-destroy-the-earth-to-save-it,www,forbes,com,200
do-we-have-to-destroy-the-earth-to-save-it,www,forbes,com,200
do-we-have-to-destroy-the-earth-to-save-it,www,npr,org,200
do-we-have-to-destroy-the-earth-to-save-it,www,amazon,com,500
do-we-have-to-destroy-the-earth-to-save-it,,bioone,org,200
do-we-have-to-destroy-the-earth-to-save-it,www,prageru,com,200
do-we-have-to-destroy-the-earth-to-save-it,www,telegraph,co.uk,200
do-we-have-to-destroy-the-earth-to-save-it,www,hcn,org,200
