video,subdomain,domain,top_level,response
fossil-fuels-greener-than-you-think,www,moralcaseforfossilfuels,com,403
fossil-fuels-greener-than-you-think,www,moralcaseforfossilfuels,com,403
fossil-fuels-greener-than-you-think,www,moralcaseforfossilfuels,com,403
fossil-fuels-greener-than-you-think,www,amazon,com,500
fossil-fuels-greener-than-you-think,www,amazon,com,500
fossil-fuels-greener-than-you-think,www,amazon,com,500
fossil-fuels-greener-than-you-think,www,amazon,com,500
fossil-fuels-greener-than-you-think,www,amazon,com,500
fossil-fuels-greener-than-you-think,www,amazon,com,500
fossil-fuels-greener-than-you-think,www,amazon,com,500
fossil-fuels-greener-than-you-think,www,amazon,com,500
fossil-fuels-greener-than-you-think,www,amazon,com,500
fossil-fuels-greener-than-you-think,www,moralcaseforfossilfuels,com,403
fossil-fuels-greener-than-you-think,www,moralcaseforfossilfuels,com,403
fossil-fuels-greener-than-you-think,www,moralcaseforfossilfuels,com,403
fossil-fuels-greener-than-you-think,www,amazon,com,500
fossil-fuels-greener-than-you-think,www,amazon,com,500
fossil-fuels-greener-than-you-think,www,amazon,com,500
fossil-fuels-greener-than-you-think,www,amazon,com,500
fossil-fuels-greener-than-you-think,www,amazon,com,500
fossil-fuels-greener-than-you-think,www,moralcaseforfossilfuels,com,403
fossil-fuels-greener-than-you-think,www,amazon,com,500
fossil-fuels-greener-than-you-think,www,amazon,com,500
fossil-fuels-greener-than-you-think,www,amazon,com,500
fossil-fuels-greener-than-you-think,www,amazon,com,500
fossil-fuels-greener-than-you-think,www,moralcaseforfossilfuels,com,403
fossil-fuels-greener-than-you-think,www,who,int,404
fossil-fuels-greener-than-you-think,www,amazon,com,500
fossil-fuels-greener-than-you-think,www,amazon,com,500
fossil-fuels-greener-than-you-think,www,co2science,org,200
fossil-fuels-greener-than-you-think,www,co2science,org,200
fossil-fuels-greener-than-you-think,www,amazon,com,500
fossil-fuels-greener-than-you-think,www,amazon,com,500
fossil-fuels-greener-than-you-think,www,amazon,com,500
fossil-fuels-greener-than-you-think,www,amazon,com,500
fossil-fuels-greener-than-you-think,www,amazon,com,500
fossil-fuels-greener-than-you-think,www,amazon,com,500
fossil-fuels-greener-than-you-think,www,forbes,com,200
fossil-fuels-greener-than-you-think,www,forbes,com,200
fossil-fuels-greener-than-you-think,www,amazon,com,500
fossil-fuels-greener-than-you-think,www,forbes,com,200
fossil-fuels-greener-than-you-think,www,forbes,com,200
fossil-fuels-greener-than-you-think,www,forbes,com,200
