video,subdomain,domain,top_level,response
fossil-fuels-the-big-picture,www,nytimes,com,403
fossil-fuels-the-big-picture,www,wsj,com,403
fossil-fuels-the-big-picture,,ourworldindata,org,200
fossil-fuels-the-big-picture,www,prageru,com,200
fossil-fuels-the-big-picture,,developmenteducation,ie,200
fossil-fuels-the-big-picture,www,prageru,com,200
fossil-fuels-the-big-picture,www,prageru,com,200
fossil-fuels-the-big-picture,www,thelancet,com,403
fossil-fuels-the-big-picture,www,forbes,com,200
fossil-fuels-the-big-picture,www,forbes,com,200
fossil-fuels-the-big-picture,www,climate,gov,200
fossil-fuels-the-big-picture,www,prageru,com,200
fossil-fuels-the-big-picture,www,prageru,com,200
fossil-fuels-the-big-picture,alexepstein,substack,com,200
fossil-fuels-the-big-picture,www,climate,gov,200
fossil-fuels-the-big-picture,www.commerce,senate,gov,200
fossil-fuels-the-big-picture,onlinelibrary,wiley,com,403
fossil-fuels-the-big-picture,www,prageru,com,200
fossil-fuels-the-big-picture,www,schiphol,nl,200
fossil-fuels-the-big-picture,www,foxnews,com,200
fossil-fuels-the-big-picture,sdgs,un,org,200
fossil-fuels-the-big-picture,www,iea,org,200
fossil-fuels-the-big-picture,,netherlandsinsiders,com,200
fossil-fuels-the-big-picture,,netherlandsinsiders,com,200
fossil-fuels-the-big-picture,www,nationalreview,com,200
