video,subdomain,domain,top_level,response
good-news-the-world-is-not-ending,alexepstein,substack,com,200
good-news-the-world-is-not-ending,,manhattan,institute,200
good-news-the-world-is-not-ending,www,nytimes,com,403
good-news-the-world-is-not-ending,www,amazon,com,500
good-news-the-world-is-not-ending,www,census,gov,200
good-news-the-world-is-not-ending,www,amazon,com,500
good-news-the-world-is-not-ending,www,prb,org,200
good-news-the-world-is-not-ending,,fee,org,403
good-news-the-world-is-not-ending,,energynow,com,200
good-news-the-world-is-not-ending,www,scientificamerican,com,403
good-news-the-world-is-not-ending,,twitter,com,200
good-news-the-world-is-not-ending,www,climate,gov,200
good-news-the-world-is-not-ending,,naturenews,africa,200
good-news-the-world-is-not-ending,www,americanscientist,org,404
good-news-the-world-is-not-ending,,seawallsunlimited,com,200
good-news-the-world-is-not-ending,www,newscientist,com,200
good-news-the-world-is-not-ending,e360,yale,edu,200
good-news-the-world-is-not-ending,www,amazon,com,500
good-news-the-world-is-not-ending,www,pewtrusts,org,200
good-news-the-world-is-not-ending,drought,unl,edu,200
good-news-the-world-is-not-ending,earthobservatory,nasa,gov,200
good-news-the-world-is-not-ending,www,electronic-sirens,com,200
good-news-the-world-is-not-ending,www,census,gov,200
good-news-the-world-is-not-ending,www,washington,edu,200
good-news-the-world-is-not-ending,www,easy-irrigation,co.uk,200
good-news-the-world-is-not-ending,,fee,org,403
good-news-the-world-is-not-ending,online,annamaria,edu,200
good-news-the-world-is-not-ending,www,etymonline,com,200
