video,subdomain,domain,top_level,response
how-dangerous-is-nuclear-waste,www,latimes,com,403
how-dangerous-is-nuclear-waste,www,nei,org,403
how-dangerous-is-nuclear-waste,www,osha,gov,403
how-dangerous-is-nuclear-waste,www,nei,org,403
how-dangerous-is-nuclear-waste,www,osha,gov,403
how-dangerous-is-nuclear-waste,www,nytimes,com,403
how-dangerous-is-nuclear-waste,www,congress,gov,403
how-dangerous-is-nuclear-waste,nuclear,duke-energy,com,200
how-dangerous-is-nuclear-waste,www,gao,gov,503
how-dangerous-is-nuclear-waste,www,cato,org,200
how-dangerous-is-nuclear-waste,nuclear,duke-energy,com,200
how-dangerous-is-nuclear-waste,www,mainepublic,org,200
how-dangerous-is-nuclear-waste,eesa,lbl,gov,403
how-dangerous-is-nuclear-waste,www,mining,com,200
how-dangerous-is-nuclear-waste,www,forbes,com,200
how-dangerous-is-nuclear-waste,www,nrdc,org,200
how-dangerous-is-nuclear-waste,www,wired,com,200
how-dangerous-is-nuclear-waste,www,nrc,gov,200
how-dangerous-is-nuclear-waste,www,nrc,gov,200
how-dangerous-is-nuclear-waste,www,heritage,org,200
how-dangerous-is-nuclear-waste,www,nrc,gov,200
how-dangerous-is-nuclear-waste,www,nrc,gov,200
how-dangerous-is-nuclear-waste,,world-nuclear,org,200
how-dangerous-is-nuclear-waste,www,cnbc,com,200
how-dangerous-is-nuclear-waste,www,forbes,com,200
how-dangerous-is-nuclear-waste,www,cnbc,com,200
how-dangerous-is-nuclear-waste,www,energy-northwest,com,200
how-dangerous-is-nuclear-waste,www,iaea,org,200
how-dangerous-is-nuclear-waste,,world-nuclear,org,200
