video,subdomain,domain,top_level,response
how-much-energy-will-the-world-need,www,wsj,com,403
how-much-energy-will-the-world-need,www,manhattan-institute,org,200
how-much-energy-will-the-world-need,,ourworldindata,org,200
how-much-energy-will-the-world-need,www,census,gov,200
how-much-energy-will-the-world-need,www,npr,org,200
how-much-energy-will-the-world-need,,rmi,org,403
how-much-energy-will-the-world-need,,ourworldindata,org,200
how-much-energy-will-the-world-need,www.fhwa,dot,gov,200
how-much-energy-will-the-world-need,www,cnn,com,200
how-much-energy-will-the-world-need,www,cnbc,com,200
how-much-energy-will-the-world-need,www,trade,gov,200
how-much-energy-will-the-world-need,www,amazon,com,500
how-much-energy-will-the-world-need,fred,stlouisfed,org,200
how-much-energy-will-the-world-need,about,bnef,com,200
how-much-energy-will-the-world-need,www,manhattan-institute,org,200
how-much-energy-will-the-world-need,www,forbes,com,200
how-much-energy-will-the-world-need,www,usgs,gov,200
how-much-energy-will-the-world-need,,techcrunch,com,200
how-much-energy-will-the-world-need,www,iea,org,200
how-much-energy-will-the-world-need,www,iea,org,200
how-much-energy-will-the-world-need,mrdata,usgs,gov,200
