video,subdomain,domain,top_level,response
is-california-going-up-in-flames,,,,404
is-california-going-up-in-flames,www,latimes,com,403
is-california-going-up-in-flames,www,latimes,com,403
is-california-going-up-in-flames,www,latimes,com,403
is-california-going-up-in-flames,leginfo.legislature,ca,gov,200
is-california-going-up-in-flames,www.fire,ca,gov,403
is-california-going-up-in-flames,www,wsj,com,403
is-california-going-up-in-flames,www,latimes,com,403
is-california-going-up-in-flames,www,wsj,com,403
is-california-going-up-in-flames,www,pge,com,200
is-california-going-up-in-flames,www,latimes,com,403
is-california-going-up-in-flames,www,wsj,com,403
is-california-going-up-in-flames,www,wsj,com,403
is-california-going-up-in-flames,,twitter,com,200
is-california-going-up-in-flames,www,latimes,com,403
is-california-going-up-in-flames,www,wsj,com,403
is-california-going-up-in-flames,www,nytimes,com,403
is-california-going-up-in-flames,,,,404
is-california-going-up-in-flames,www,npr,org,200
is-california-going-up-in-flames,www,kqed,org,200
is-california-going-up-in-flames,www,cbsnews,com,200
is-california-going-up-in-flames,www,npr,org,200
is-california-going-up-in-flames,www,theatlantic,com,200
is-california-going-up-in-flames,www,npr,org,200
is-california-going-up-in-flames,www,sandiegouniontribune,com,200
is-california-going-up-in-flames,,mendovoice,com,200
is-california-going-up-in-flames,www,motherjones,com,200
is-california-going-up-in-flames,www,cbsnews,com,200
is-california-going-up-in-flames,www,wsj,com,403
