video,subdomain,domain,top_level,response
is-climate-change-our-biggest-problem,www,pnas,org,403
is-climate-change-our-biggest-problem,www,wsj,com,403
is-climate-change-our-biggest-problem,www,wsj,com,403
is-climate-change-our-biggest-problem,www,wsj,com,403
is-climate-change-our-biggest-problem,www,prageru,com,404
is-climate-change-our-biggest-problem,www,prageru,com,404
is-climate-change-our-biggest-problem,www,wsj,com,403
is-climate-change-our-biggest-problem,www,wsj,com,403
is-climate-change-our-biggest-problem,www,wsj,com,403
is-climate-change-our-biggest-problem,www,wsj,com,403
is-climate-change-our-biggest-problem,www,prageru,com,404
is-climate-change-our-biggest-problem,www,prageru,com,404
is-climate-change-our-biggest-problem,www,wsj,com,403
is-climate-change-our-biggest-problem,,ecolonomics,org,200
is-climate-change-our-biggest-problem,www,prageru,com,404
is-climate-change-our-biggest-problem,www,economist,com,200
is-climate-change-our-biggest-problem,,ecolonomics,org,200
is-climate-change-our-biggest-problem,www,economist,com,200
is-climate-change-our-biggest-problem,www,world-nuclear,org,404
is-climate-change-our-biggest-problem,www,nature,com,200
